graphical_culture = EuropeanGC
color = { 116 107 140 }
party = {
		name = "Zveno"
		citizenship_policy = limited_citizenship
		economic_policy = state_capitalism
		ideology = nationalist
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 1836.1.1
		end_date = 1991.1.1
}
party = {
		name = "VMRO-BND"
		citizenship_policy = limited_citizenship
		economic_policy = interventionism
		ideology = nationalist
		religious_policy = moralism
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 1991.1.1
		end_date = 2100.1.1
}
party = {
		name = "Bulgarian Agrarian People Union"
		citizenship_policy = full_citizenship
		economic_policy = state_capitalism
		ideology = big_tent
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1836.1.1
		end_date = 2100.1.1
}
party = {
		name = "Democratic Party"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = conservative
		religious_policy = moralism
		trade_policy = free_trade
		war_policy = pacifism
		start_date = 1836.1.1
		end_date = 1989.12.7
}
party = {
		name = "Union of Democratic Forces"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = conservative
		religious_policy = moralism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1989.12.7
		end_date = 2092.1.1
}
party = {
		name = "GERB"
		citizenship_policy = limited_citizenship
		economic_policy = laissez_faire
		ideology = conservative
		religious_policy = moralism
		trade_policy = free_trade
		war_policy = pacifism
		start_date = 2006.12.3
		end_date = 2092.1.1
}
party = {
		name = "Radical Democratic Party"
		citizenship_policy = full_citizenship
		economic_policy = laissez_faire
		ideology = liberal
		religious_policy = secularized
		trade_policy = free_trade
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 1990.1.4
}
party = {
		name = "Movement for Rights and Freedom"
		citizenship_policy = full_citizenship
		economic_policy = laissez_faire
		ideology = liberal
		religious_policy = secularized
		trade_policy = free_trade
		war_policy = pacifism
		start_date = 1990.1.4
		end_date = 2092.1.1
}
party = {
		name = "National Movement Simeon II"
		citizenship_policy = full_citizenship
		economic_policy = laissez_faire
		ideology = liberal
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 2001.4.1
		end_date = 2007.6.3
}
party = {
		name = "Social Democratic Workers Party"
		citizenship_policy = full_citizenship
		economic_policy = state_capitalism
		ideology = socialist
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 1990.3.3
}
party = {
		name = "BSP - Centenarian"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = socialist
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1990.3.3
		end_date = 2092.1.1
}
party = {
		name = "Social Democratic Party (UL)"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = progressive
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1836.1.1
		end_date = 1989.12.28
}
party = {
		name = "Green Party of Bulgaria"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = progressive
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1989.12.28
		end_date = 2092.1.1
}
party = {
		name = "Zveno"
		citizenship_policy = residency
		economic_policy = state_capitalism
		ideology = populist
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 1836.1.1
		end_date = 2005.4.17
}
party = {
		name = "Ataka"
		citizenship_policy = residency
		economic_policy = interventionism
		ideology = populist
		religious_policy = moralism
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 2005.4.17
		end_date = 2092.1.1
}
party = {
		name = "Simeon II Loyalists"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = traditionalist
		religious_policy = moralism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 2092.1.1
}
party = {
		name = "Bulgarian Worker's Party"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy
		ideology = communist
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 1948.12.1
}
party = {
		name = "Bulgarian Communist Party"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy
		ideology = communist
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1948.12.1
		end_date = 1990.3.3
}
party = {
		name = "Communist Party of Bulgaria"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy
		ideology = communist
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1990.3.3
		end_date = 2092.1.1
}
party = {
		name = "Bulgarian Worker's Party"
		citizenship_policy = full_citizenship
		economic_policy = state_capitalism
		ideology = communist_social
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 1948.12.1
}
party = {
		name = "Bulgarian Communist Party"
		citizenship_policy = full_citizenship
		economic_policy = state_capitalism
		ideology = communist_social
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1948.12.1
		end_date = 1990.3.3
}
party = {
		name = "Communist Party of Bulgaria"
		citizenship_policy = full_citizenship
		economic_policy = state_capitalism
		ideology = communist_social
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1990.3.3
		end_date = 2092.1.1
}
unit_names = {
	carrier = {
		Sofia Varna Burgas Plovdiv "Stara Zagora"
	}
	transportship = {
	}
	modern_frigate = {
		Kaliakra Vratsa "Veliko Turnovo" Sliven Kopriva
	}
	cruiser = {
		Maritsa Iskar Vit Osam Yantra
	}
	modern_cruiser = {
		Sofia Varna Burgas Plovdiv "Stara Zagora"
	}
	frigate = {
