graphical_culture = EuropeanGC
color = { 222 163 97 }
party = {
		name = "National Union"
		citizenship_policy = limited_citizenship
		economic_policy = state_capitalism
		ideology = nationalist
		religious_policy = moralism 
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 1836.1.1
		end_date = 1970.1.1
}
party = {
		name = "People's National Action"
		citizenship_policy = limited_citizenship
		economic_policy = interventionism
		ideology = nationalist
		religious_policy = moralism 
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 1970.1.1
		end_date = 2100.1.1
}
party = {
		name = "Democratic Union of Cape Verde"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = big_tent
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1836.1.1
		end_date = 2100.1.1
}

party = {
		name = "Movement for Democracy"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = conservative
		religious_policy = moralism
		trade_policy = free_trade
		war_policy = pacifism
		start_date = 1836.1.1
		end_date = 2092.1.1
}
party = {
		name = "Movement for Democracy"
		citizenship_policy = full_citizenship
		economic_policy = laissez_faire
		ideology = liberal
		religious_policy = moralism
		trade_policy = free_trade
		war_policy = pacifism
		start_date = 1836.1.1
		end_date = 2092.1.1
}
party = {
		name = "PAIGC (Marxist)"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy1
		ideology = socialist
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 1981.1.1
}
party = {
		name = "PAICV (SD)"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = socialist
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1981.1.1
		end_date = 2092.1.1
}
party = {
		name = "Labour and Solidarity Party"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = progressive
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1836.1.1
		end_date = 2092.1.1
}
party = {
		name = "National Union"
		citizenship_policy = residency
		economic_policy = state_capitalism
		ideology = populist
		religious_policy = moralism
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 1836.1.1
		end_date = 1970.1.1
}
party = {
		name = "People's National Action"
		citizenship_policy = residency
		economic_policy = interventionism
		ideology = populist
		religious_policy = moralism 
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 1970.1.1
		end_date = 2092.1.1
}
party = {
		name = "Portuguese Loyalists"
		citizenship_policy = residency
		economic_policy = state_capitalism
		ideology = traditionalist
		religious_policy = moralism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 2092.1.1
}
party = {
		name = "PAIGC"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy1
		ideology = communist
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 1981.1.1
}
party = {
		name = "PAICV"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy1
		ideology = communist
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1981.1.1
		end_date = 2092.1.1
}
party = {
		name = "PAIGC (LN)"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy1
		ideology = communist_social
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1836.1.1
		end_date = 1981.1.1
}
party = {
		name = "PAICV (LN)"
		citizenship_policy = full_citizenship
		economic_policy = state_capitalism
		ideology = communist_social
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1981.1.1
		end_date = 2092.1.1
}
unit_names = {
	transportship = {
		Bissau Guinala Biguba "Kaabu Mansaba"
	}
	modern_frigate = {
		Bissau Guinala Biguba "Kaabu Mansaba"
	}
	cruiser = {
		Bissau Guinala Biguba "Kaabu Mansaba"
	}
	modern_cruiser = {
		Bissau Guinala Biguba "Kaabu Mansaba"
	}
	frigate = {
		Bissau Guinala Biguba "Kaabu Mansaba"
	}
	modern_destroyer = {
		Bissau Guinala Biguba "Kaabu Mansaba"
	}
	destroyer = {
		Bissau Guinala Biguba "Kaabu Mansaba"
	}
	submarine = {
		Bissau Guinala Biguba "Kaabu Mansaba"
	}
}
