graphical_culture = Generic
color = { 255  131  40 }
#party_socialist_0_ORA;Nasionale Party;;;;;;;;;;;;;x
#party_socialist_1_ORA;African National Congress;;;;;;;;;;;;;x
#party_socialist_2_ORA;Herenigde Nasionale Party;;;;;;;;;;;;;x
#party_conservative_0_ORA;Inkatha Freedom Party;;;;;;;;;;;;;x
#party_conservative_1_ORA;United Party;;;;;;;;;;;;;x
#party_conservative_2_ORA;Nuwe Republiekparty;;;;;;;;;;;;;x
#party_progressive_0_ORA;African National Congress progressive;;;;;;;;;;;;;x
#party_progressive_1_ORA;Labour Party;;;;;;;;;;;;;x
#party_liberal_0_ORA;Democratic Party;;;;;;;;;;;;;x
#party_liberal_1_ORA;Liberal Party;;;;;;;;;;;;;x
#party_liberal_2_ORA;Progressive Party;;;;;;;;;;;;;x
#party_traditionalist_0_ORA;Conservative Party;;;;;;;;;;;;;x
party = {
		name = "party_big_tent"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = big_tent
		religious_policy = secularized
		trade_policy = free_trade
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 2100.1.1
}
party = {
		name = "party_conservative_0_ORA"
		citizenship_policy = limited_citizenship
		economic_policy = interventionism
		ideology = conservative
		religious_policy = secularized
		trade_policy = free_trade
		war_policy = pro_military
		start_date = 1975.1.1
		end_date = 2100.1.1
}
party = {
		name = "party_conservative_1_ORA"
		citizenship_policy = limited_citizenship
		economic_policy = interventionism
		ideology = conservative
		religious_policy = secularized
		trade_policy = free_trade
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 1977.1.1
}
party = {
		name = "party_conservative_2_ORA"
		citizenship_policy = limited_citizenship
		economic_policy = interventionism
		ideology = conservative
		religious_policy = secularized
		trade_policy = free_trade
		war_policy = pro_military
		start_date = 1977.1.1
		end_date = 1988.1.1
}
party = {
		name = "party_liberal_0_ORA"
		citizenship_policy = full_citizenship
		economic_policy = laissez_faire
		ideology = liberal
		religious_policy = secularized
		trade_policy = free_trade
		war_policy = pacifism
		start_date = 1989.1.1
		end_date = 2100.1.1
}
party = {
		name = "party_liberal_1_ORA"
		citizenship_policy = full_citizenship
		economic_policy = laissez_faire
		ideology = liberal
		religious_policy = secularized
		trade_policy = free_trade
		war_policy = pacifism
		start_date = 1836.1.1
		end_date = 1968.1.1
}
party = {
		name = "party_liberal_2_ORA"
		citizenship_policy = full_citizenship
		economic_policy = laissez_faire
		ideology = liberal
		religious_policy = secularized
		trade_policy = free_trade
		war_policy = pacifism
		start_date = 1959.1.1
		end_date = 1989.1.1
}
party = {
		name = "party_socialist_0_ORA"
		citizenship_policy = residency
		economic_policy = state_capitalism
		ideology = socialist
		religious_policy = moralism
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 1951.1.1
		end_date = 1997.1.1
}
party = {
		name = "party_socialist_1_ORA"
		citizenship_policy = limited_citizenship
		economic_policy = state_capitalism
		ideology = socialist
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1836.1.1
		end_date = 2100.1.1
}
party = {
		name = "party_socialist_2_ORA"
		citizenship_policy = residency
		economic_policy = state_capitalism
		ideology = socialist
		religious_policy = moralism
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1836.1.1
		end_date = 1951.1.1
}
party = {
		name = "party_progressive_0_ORA"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = progressive
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1836.1.1
		end_date = 2100.1.1
}
party = {
		name = "party_progressive_1_ORA"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = progressive
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1836.1.1
		end_date = 1958.1.1
}
party = {
		name = "Populist Faction"
