graphical_culture = MiddleEasternGC
color = { 60 179 113 }
party = {
		name = "Free Princes Movement"
		citizenship_policy = limited_citizenship
		economic_policy = state_capitalism
		ideology = nationalist
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 1962.12.1
}
party = {
		name = "Arab National Liberation Front"
		citizenship_policy = limited_citizenship
		economic_policy = state_capitalism
		ideology = nationalist
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1962.12.1
		end_date = 1964.1.1
}
party = {
		name = "National Liberation Front"
		citizenship_policy = limited_citizenship
		economic_policy = state_capitalism
		ideology = nationalist
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1964.1.1
		end_date = 2100.1.1
}
party = {
		name = "Centrist Princes"
		citizenship_policy = limited_citizenship
		economic_policy = interventionism
		ideology = big_tent
		religious_policy = moralism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 2100.1.1
}
party = {
		name = "Moderate Princes"
		citizenship_policy = limited_citizenship
		economic_policy = interventionism
		ideology = conservative
		religious_policy = moralism
		trade_policy = free_trade
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 2011.2.10
}
party = {
		name = "Moderate Princes"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = conservative
		religious_policy = moralism
		trade_policy = free_trade
		war_policy = pacifism
		start_date = 2011.2.10
		end_date = 2092.1.1
}
party = {
		name = "Pro-Western Princes"
		citizenship_policy = limited_citizenship
		economic_policy = laissez_faire
		ideology = liberal
		religious_policy = secularized
		trade_policy = free_trade
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 2020.9.23
}
party = {
		name = "National Assembly Party"
		citizenship_policy = limited_citizenship
		economic_policy = laissez_faire
		ideology = liberal
		religious_policy = secularized
		trade_policy = free_trade
		war_policy = pro_military
		start_date = 2020.9.23
		end_date = 2092.1.1
}
party = {
		name = "FSAP"
		citizenship_policy = limited_citizenship
		economic_policy = state_capitalism
		ideology = socialist
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 1966.1.1
}
party = {
		name = "Arabian Peninsula Peoples Union"
		citizenship_policy = limited_citizenship
		economic_policy = state_capitalism
		ideology = socialist
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1966.1.1
		end_date = 2092.1.1
}
party = {
		name = "People's Democratic Party"
		citizenship_policy = residency
		economic_policy = planned_economy1
		ideology = socialist
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 1972.1.1
}
party = {
		name = "Arab Socialist Action Party"
		citizenship_policy = residency
		economic_policy = planned_economy1
		ideology = socialist
		religious_policy = pro_atheism
		trade_policy = protectionism
