#tag;name;totpop;primary_culture;capital;percent_secularism;religion;government;literacy;complexity;millitary per capita;urbanization;colors
ABK;Abkhazia;255;abkhaz,russian;Sukhumi;13.50%;secularism;democracy;3.75%;-1,605049;8,1;53,6;
ADJ;Adjara;;georgian;Batum;13.25%;secularism;democracy;5.00%;-1,605049;8,1;53,6;
AFG;Afghanistan;8150;pashtun,tajik,uzbek;Kabul;0.75%;secularism;absolute_monarchy;0.50%;-3;5,5;23,5;139-139-131,communist178-34-34,fascist105-105-105
ALA;Aland;;swedish,finnish;Aland Islands;20.50%;secularism;democracy;17.50%;0,538;2,2;85,2;
ALB;Albania;1227;albanian;Tirana;13.25%;secularism;proletarian_dictatorship;3.78%;-1,721006;3,9;53,4;
ALG;Algeria;8893;sunni_arab;Algiers;2.25%;secularism;democracy;3.75%;-2,016799;3,8;73;
ALT;Altai;;altay,russian;Ulala;14.75%;secularism;democracy;16.03%;-0,671825;5,3;73,8;
ADL;Andalusia;;spanish;Seville;13.75%;secularism;hms_government;14.85%;-0,32302;2,6;77,4;
ANG;Angola;4118;black_portuguese;Luanda;2.50%;secularism;proletarian_dictatorship;0.18%;-3,06387;8,4;59,2;
AAB;Antigua And Barbuda;46;black_anglo;Antigua;1.00%;secularism;hms_government;7.38%;-0,7;2;29,8;
AOS;Aosta;;french,italian;Aosta;7.50%;secularism;democracy;14.43%;-0,02114;3;68,4;
ARG;Argentina;17150;white_spanish;Buenos Aires;7.50%;secularism;democracy;12.00%;0,35809;1,8;92,5;
ARM;Armenia;1355;armenian;Erivan;4.50%;secularism;proletarian_dictatorship;5.05%;-0,9;16,5;64,1;0-0-205,communist255-0-0
ARU;Aruba;50;black_dutch;Aruba;16.25%;secularism;hms_government;7.38%;-0,12892;2,2;83,2;
ATJ;Atjeh;;ache;Banda Aceh;0.25%;sunni;presidential_dictatorship;3.65%;-1,5465448;1,2;50,7;85-107-47
ATL;Atlantico;;black_anglo,mestizo;Bluefields;4.75%;secularism;democracy;2.88%;-2,82059;2;57,5;205-205-193
AST;Australia;8267;white_anglo;Sydney;16.75%;secularism;hms_government;15.83%;-1,365777;2,7;89,2;
AUS;Austria;6935;german;Vienna;12.75%;secularism;democracy;14.43%;0,98916;3,1;67,7;
AZK;Tribal Areas;;pashtun;Saskylah;1.00%;sunni;absolute_monarchy;2.63%;-2,295822;3,7;36,2;34-139-34
AZB;Azerbaijan;2885;azerbaijani:azerbaijani;Tabriz;13.50%;secularism;nationalist_dictatorship;5.58%;-1,605049;8,1;53,6;106-90-205, communist255-0-0
AZO;Azores;;portuguese;Azores;8.25%;secularism;democracy;12.55%;-0,890684;4;61,1;
BAH;Bahamas;70;black_anglo;Bahamas;4.50%;secularism;hms_government;7.38%;-1;2,8;84,3;
BHR;Bahrain;115;shia_arab:sunni_arab;Bahrain;2.50%;secularism;nationalist_dictatorship;6.30%;-1,8;11,3;88,7;193-205-193
BLO;Balochistan;;baluchi;Kalat;1.00%;secularism;democracy;2.63%;-2,295822;3,7;36,2;
BNG;Bangladesh;45646;bengali;Dacca;3.00%;secularism;democracy;1.65%;-2,53418;1;28,4;
BAR;Barbados;211;black_anglo;Barbados;4.50%;secularism;hms_government;9.55%;-1;2,1;44,4;
BAK;Bashkortostan;;bashkir,russian;Ufa;14.75%;secularism;proletarian_dictatorship;5.68%;-0,671825;5,3;73,8;176-196-222, communist255-0-0
EUS;Basque Country;;basque;BIlbao;13.75%;secularism;hms_government;14.85%;-0,32302;2,6;77,4;255-165-0
BYE;Belarus;7722;byelorussian,russian;Minsk;12.50%;secularism;proletarian_dictatorship;14.00%;-0,902707;7,6;75;245-245-245, communist255-0-0
BEL;Belgium;8639;wallonian,flemish;Brussels;17.00%;secularism;hms_government;14.25%;0,07035;3,3;97,5;255-248-220
BLZ;Belize;66;black_anglo,mestizo;Belize;8.25%;secularism;hms_government;4.13%;-2;3,4;44,7;
BEN;Benin;1673;black_french;Cotonou;1.50%;secularism;proletarian_dictatorship;1.10%;-2,7;0,5;44,9;
BEU;Bermuda;39;white_anglo,black_anglo;Bermuda;19.00%;secularism;hms_government;9.55%;0,46008;3,1;79,6;
BHU;Bhutan;164;ngalop;Thimpu;1.25%;buddhist;absolute_monarchy;0.70%;-2,7;11,3;35,6;
BOH;Bohemia;;czech;Prague;17.00%;secularism;democracy;7.45%;0,07035;3,3;97,5;
BOL;Bolivia;2766;white_spanish,mestizo;Chuquisaca;3.25%;secularism;presidential_dictatorship;0.5%;-2,218373;4,7;66,8;205-133-63
BOP;Bophuthatswana;;tswana;Klerksdorp;5.00%;secularism;populist_dictatorship;1.15%;-1,061362;1,3;62;106-90-205
BOS;Bosnia;2662;bosniak,croat;Sarajevo;9.50%;secularism;proletarian_dictatorship;7.08%;-1,30036;2,1;48,3;154-205-50, communist 153-50-204
BOT;Botswana;430;tswana;Gaborone;4.00%;secularism;democracy;1.15%;-0,9;4,5;61,7;
BOU;Bougainville;;melanesian;Bougainville;1.50%;secularism;hms_government;0.58%;-2,86825;0,5;12,5;
BRZ;Brazil;53443;white_portuguese,pardo_portuguese,black_portuguese;Rio de Janeiro;2.50%;secularism;presidential_dictatorship;0.53%;-2,672197;1,6;84,6;
BRI;Brittany;;breton,french;Brest;17.00%;secularism;democracy;13.40%;0,07035;3,3;97,5;
BRU;Brunei;45;malay;Brunei;0.50%;secularism;absolute_monarchy;3.60%;-1,8;18;76;
BUL;Bulgaria;7251;bulgarian;Sofia;14.50%;secularism;proletarian_dictatorship;10.20%;-1,011985;4,3;73,1;
BUF;Burkina Faso;4376;black_french,mossi;Wagadugu;1.50%;secularism;democracy;0.25%;-3;0,7;26,5;
