#type;first;second;value
MNNA;USA;JAP;
MNNA;USA;AST;
MNWA;RUS;DAI;
MNWA;RUS;MGL;
MNWA;RUS;CHI;
NATO;CAN;ENG;
NATO;ENG;NET;
NATO;USA;CAN;
NATO;USA;BEL;
NATO;USA;DEN;
NATO;USA;ICL;
NATO;USA;ITA;
NATO;USA;LUX;
NATO;USA;NOR;
NATO;USA;POR;
NATO;USA;GRE;
NATO;USA;TUR;
puppet;FRA;CAM;
puppet;FRA;LUA;
puppet;ENG;SOM;
puppet;ENG;MLD;
puppet;ENG;MSY;
puppet;ENG;ZAN;
puppet;RAJ;UAE;
puppet;ENG;BHR;
puppet;RAJ;BHU;
puppet;ENG;RHO;
puppet;RUS;MGL;
puppet;RUS;BUL;
puppet;RUS;CZH;
puppet;RUS;POL;
puppet;RUS;HUN;
puppet;RUS;ROM;
puppet;ENG;IRQ;
puppet;ENG;JOR;
puppet;ENG;KUW;
puppet;ENG;LES;
puppet;RAJ;NEP;
puppet;FRA;MOR;
puppet;RAJ;JAK;
puppet;RAJ;AZK;
puppet;ENG;QAT;
puppet;ENG;SWA;
puppet;ENG;RAJ;
puppet;RAJ;MNP;
puppet;RAJ;BLO;
puppet;RAJ;RAA;
puppet;RAJ;IND;
puppet;RAJ;GWA;
puppet;RAJ;BER;
puppet;RAJ;ORI;
puppet;RAJ;NAX;
puppet;RAJ;BOD;
puppet;RAJ;SIK;
puppet;RAJ;HYD;
puppet;RAJ;MYS;
puppet;RAJ;TRA;
puppet;FRA;TUN;
puppet;USA;PHI;
puppet;USA;CUB;
puppet;USA;JAP;
puppet;NET;IDO;
relation;USA;ENG;5
relation;ENG;USA;5
relation;USA;JAP;5
relation;CAN;Iceland;4
relation;ENG;IRQ;5
relation;ENG;MSY;5
relation;ENG;BHU;5
relation;ENG;MLD;5
relation;ENG;UAE;5
relation;ENG;JOR;5
relation;ENG;KUW;5
relation;ENG;LES;5
relation;ENG;NEP;5
relation;ENG;ZAN;5
relation;ENG;OMA;5
relation;ENG;JAK;5
relation;ENG;AZK;5
relation;ENG;RAJ;5
relation;ENG;MNP;5
relation;ENG;BLO;5
relation;ENG;RAA;5
relation;ENG;IND;5
relation;ENG;GWA;5
relation;ENG;BER;5
relation;ENG;ORI;5
relation;ENG;NAX;5
relation;ENG;BOD;5
relation;ENG;SIK;5
relation;ENG;HYD;5
relation;ENG;MYS;5
relation;ENG;TRA;5
relation;ENG;PER;5
relation;ENG;QAT;5
relation;ENG;BHR;5
relation;ENG;SWA;5
relation;ENG;Australia;5
relation;ENG;New Zealand;5
relation;ENG;EGY;5
relation;ENG;RHO;5
relation;ENG;TIB;5
relation;ENG;South Africa;5
relation;FRA;TUN;5
relation;FRA;MOR;5
relation;FRA;Luang Prabang;5
relation;RUS;SYR;4
relation;FRA;LEB;5
relation;FRA;CAM;5
relation;RUS;Albania;4
relation;RUS;Yugoslavia;4
relation;RUS;Czechoslovakia;5
relation;RUS;Hungary;5
relation;RUS;Romania;5
relation;RUS;Bulgaria;5
relation;RUS;Poland;5
relation;RUS;Mongolia;5
relation;RUS;Azerbaijan;3
relation;RUS;Kurdistan;3
relation;RUS;East Turkestan;3
relation;RUS;Dai Viet;3
relation;RUS;China;5
relation;USA;Philippines;5
relation;USA;Thailand;4
relation;USA;Saudi Arabia;5
relation;USA;Bahrain;4
relation;USA;Qatar;4
relation;USA;Kuwait;4
relation;USA;Oman;4
relation;USA;United Arab Emirates;4
relation;USA;Liberia;5
relation;USA;Antigua And Barbuda;4
relation;USA;Bahamas;4
relation;USA;Barbados;4
relation;USA;Belize;5
relation;USA;Costa Rica;5
relation;USA;Cuba;5
relation;USA;Dominica;5
relation;USA;Dominican Republic;5
relation;USA;El Salvador;5
relation;USA;Greenland;4
relation;USA;Grenada;5
relation;USA;Guatemala;5
relation;USA;Haiti;5
relation;USA;Honduras;5
relation;USA;Jamaica;5
relation;USA;Mexico;5
relation;USA;Nicaragua;5
relation;USA;Panama;5
relation;USA;St Kits And Nevis;5
relation;USA;St Lucia;5
relation;USA;St Vincent And Grenadines;5
relation;USA;Trinidad and Tobago;5
relation;USA;Argentina;5
relation;USA;Bolivia;5
relation;USA;Brazil;5
relation;USA;Chile;5
relation;USA;Colombia;5
relation;USA;Ecuador;5
relation;USA;Guyana;5
relation;USA;Paraguay;5
relation;USA;Peru;5
relation;USA;Suriname;5
relation;USA;Uruguay;5
relation;USA;Venezuela;5
relation;USA;Australia;4
relation;USA;Fiji;5
relation;USA;Kiribati;5
relation;USA;Marshall Islands;5
relation;USA;Micronesia;5
relation;USA;Nauru;5
relation;USA;New Zealand;4
relation;USA;Palau;4
relation;USA;Papua New Guinea;4
relation;USA;Samoa;4
relation;USA;Solomon Islands;4
relation;USA;Tonga;4
relation;USA;Tuvalu;4
relation;USA;Vanuatu;4
relation;KMT;Dai Viet;4
relation;USA;BEL;5
relation;USA;DEN;5
relation;USA;ICL;5
relation;USA;ITA;5
relation;USA;LUX;5
relation;USA;NET;2
relation;ENG;NET;4
relation;USA;NOR;5
relation;USA;POR;5
relation;USA;GRE;5
relation;USA;TUR;5
relation;USA;Indonesia;4
relation;USA;Ireland;4
relation;USA;Lebanon;3
relation;ENG;Lebanon;3
relation;ENG;Ethiopia;3
relation;FRA;Ethiopia;3
