#id;name;owner;core,;population;culturex%,;administrative division;trade_goods;life_rating;continent,,,,,,,,,,,,,,,,,,,,,,,,,,
2224;Antigua;ENG;AAB;80;black_anglo 91%, indian 3%, white_anglo 2%," mestizo 4%;Antigua;timber;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,
1095;Sukhumi;RUS;ABK, GEO;525;georgian 46%, abkhaz 18%, russian 14%, armenian 14%," ukrainian 8%;Sukhumi;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,
1167;Abu Dhabi;UAE;UAE;1935;sunni_arab 60%," shia_arab 40%;Abu Dhabi;petroleum;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1168;Dubai;UAE;UAE;6329;sunni_arab 60%," shia_arab 40%;Dubai;petroleum;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;United Arab Emirate;UAE;;0;sunni_arab 19%, shia_arab 15%, bengali 10%, indian_muslim 31%, singalese 2%, indian 7%, white_anglo 8%, filipino 8%;8264;;;,,,,,,,,,,,,,,,,,,,,,
1209;Kabul;AFG;AFG;5363;pashtun 70%, tajik 30%;Bamyan,Parwan,Maidan,Wardak,Kabul,Logar,"Kapisa;timber;35;""asia""",,,,,,,,,,,,,,,,,,,,,
1210;Faizabad;AFG;AFG;3883;tajik 78%, pamir 2%, uzbek 20%;Kunduz,Baghlan,Takhar,Panjshir,Badakhshan,Nuristan,"Kunar;wool;35;""asia""",,,,,,,,,,,,,,,,,,,,
1211;Balkh;AFG;AFG;3268;uzbek 60%, tajik 25%, Turkmen 15%;Kunar, Faryab,Jowzjan, Sar-e Pol,Balkh,"Samangan;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,
1212;Herat;AFG;AFG;2754;tajik 40%, pashtun 35%, Aimat 10%, turkmen 15%;Herat, Farah," Badghis;fruit;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,
1213;Bamyan;AFG;AFG;1433;Hazara 56%, Aimat 34%, pashtun 10%;Urozgan, Ghor," Daykundi;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,
1214;Farrah;AFG;AFG, BLO;1560;baluchi 31%, pashtun 69%;Nimruz,Helmand,"Daykundi;cotton;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,
1215;Kandahar;AFG;AFG, BLO;1151;baluchi 11%," pashtun 89%;Kandahar;wool;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
1216;Jalalabad;AFG;AFG;1724;pashtun 98%, tajik 2%;Laghman,"Nangarhar;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
1217;Ghazni;AFG;AFG;3189;pashtun 100%;Ghazni, Zabul, Paktia, Paktika,"Khost;wool;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Afghanistan;AFG;;0;pashtun 45.8%, tajik 27%, Hazara 9%, uzbek 9%, Aimat 4%, Turkmen 3%, Baluchi 2%, Pamir 0.2%;24325;;;,,,,,,,,,,,,,,,,,,,,,
849;Tirana;ALB;ALB;1320;albanian 100%;Tirana, Diber, Berat," Elbasan;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,
850;Shkoder;ALB;ALB;434;albanian 100%;Shkoder, Kukes," Lezhe;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,
"851;Durres;ALB;ALB;290;albanian 100%;Durres;cattle;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
852;Vlore;ALB;ALB;485;albanian 100%;Vlore," Fier;other_minerals;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,
853;Gjirokaster;ALB;ALB;292;Greek 9%, albanian 91%;Gjirokaster," Korce;cattle;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;;ALB;;0;Albanian 99.1%, Greek 0.9%;2821;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700;Algiers;FRA;ALG;4751;sunni_arab 55%, white_french 35%, jewish 10%;Algiers, Blida," El TarefBoumerdes;grain;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,
1701;Bougie;FRA;ALG;3572;Berber 80%, sunni_arab 20%;Skikda, Jijel, Béjaïa," Tizi Ouzou;grain;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,
1702;Setif;FRA;ALG;2824;Berber 70%, sunni_arab 25%, white_french 5%;Bouïra, Setif,"Bordj Bou Arréridj;wool;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,
1703;Medea;FRA;ALG;1029;sunni_arab 68%, berber 30%, white_french 2%;Relizane," Tissemsilt;grain;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,
1704;Oran;FRA;ALG;1584;sunni_arab 40%, white_french 48%," jewish 10%;Oran;grain;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,
1705;Tlemcen;FRA;ALG;1325;sunni_arab 76%, white_french 22%, jewish 2%;Tlemcen," Ain Timouchent;grain;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,
1706;Mustaghanim;FRA;ALG;2401;sunni_arab 80%, berber 15%, white_french 5%;Chlef, Ain Defla," Tipaza;fruit;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,
1707;Mascara;FRA;ALG;1789;sunni_arab 100%;Saïda, Sidi Bel Abbès," Mascara;fruit;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,
1708;Constantine;FRA;ALG;2214;sunni_arab 78%, white_french 20%, jewish 2%;Batna, Oum El Bouaghi," Souk Ahras;grain;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,
1709;Bone;FRA;ALG;1972;sunni_arab 83%, white_french 15%, jewish 2%;Annaba, Guelma, Souk Ahras," El Taref;grain;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,
1710;Biskra;FRA;ALG;2899;Berber 80%, sunni_arab 20%;Biskra, Batna, Tébessa," Khenchela;other_minerals;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,
1711;Ouargla;FRA;ALG;552;sunni_arab 90%," berber 10%;Ouargla;wool;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1712;Tuggurt;FRA;ALG;673;Berber 85%," sunni_arab 15%;El Oued;wool;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1713;Laghwat;FRA;ALG;3342;sunni_arab 100%;Tiaret , Médéa, Djelfa," Laghouat ;grain;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,
"1714;Bechar;FRA;ALG;274;sunni_arab 100%;Bechar;wool;10;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1715;Naama;FRA;ALG;771;sunni_arab 100%;Ain Defla;other_minerals;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1716;Tindouf;FRA;ALG;159;sunni_arab 100%;Tindouf;wool;10;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1717;Chenachene;FRA;ALG;339;sunni_arab 100%;Andar;gas;10;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718;In Salah;FRA;ALG;375;Tuareg 10%," sunni_arab 90%;Ghardaia;wool;10;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1719;Ilizi;FRA;ALG;54;Tuareg 90%," sunni_arab 10%;Ilizi;petroleum;10;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1720;Timimoun;FRA;ALG;262;sunni_arab 70%," berber 30%;El Bayadh ;gas;10;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1721;In Guezzam;FRA;ALG;100;Tuareg 90%," sunni_arab 10%;Tamanrasset;wool;10;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1722;Tin Zawatene;FRA;ALG;100;Tuareg 90%," sunni_arab 10%;Andar;wool;10;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1724;Tamanrasset;FRA;ALG;98;Tuareg 90%," sunni_arab 10%;Tamanrasset;wool;10;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Algeria;FRA;;0;sunni_arab 73%, Berber 26%, Tuareg 1%;33459;;;,,,,,,,,,,,,,,,,,,,,,,,,,,
1999;Luanda;POR;ANG;6202;white_portuguese 9%, black_portuguese 14%, Kimbundu 50%, Ovimbundu 15%, baKongo 12%;Luanda," Bengo;coffee;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,
2000;Cabinda;POR;ANG,"CBA;441;baKongo 100%;Cabinda;petroleum;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2001;Mbanza;POR;ANG;1499;baKongo 100%;Uige," Zaire;petroleum;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2002;Quibala;POR;ANG;1729;Kimbundu 100%;Cuanza Sul," Cuanza Norte;coffee;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003;Benguela;POR;ANG;1985;ovimbundu 100%;Benguela;grain;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004;Mocamedes;POR;ANG;367;Herero 10%," ovimbundu 90%;Namibe;fish;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005;Huambo;POR;ANG;3721;ovimbundu 100%;Huambo," Huila;fruit;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006;Kuito;POR;ANG;1143;Ganguela 5%, ovimbundu 80%," chokwe 15%;Bie;fruit;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,
"2007;Mavinga;POR;ANG;394;Ganguela 100%;Cuando Cubango;grain;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008;Ondjiva;POR;ANG;648;Ovambo 90%," black_portuguese 10%;Cuene;cattle;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2009;Malanje;POR;ANG;754;Kimbundu 50%, Ganguela 40%," baKongo 10%;Malanje;fruit;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,
2010;Saurimo;POR;ANG;1157;Chokwe 100%;Lunda Norte," Lunda Sur;cattle;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2011;Kubanda;POR;ANG;565;Chokwe 80%," Ganguela 20%;Moxico;grain;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Angola;POR;;0;Ovimbundu 37%, Kimbundu 25%, Bakongo 13%, black_portuguese 4%, white_portuguese 1%, Ganguela 5%, Chokwe 9%, ovambo 4%, chinese 2%;20605;;;,,,,,,,,,,,,,,,,,,,,
