#country;infantry;motorized_infantry;mechanized_infantry;tank;artillery;bomber;fighter;carriers;transportship;cruisser;destroyer;frigate;patrolboat;submarine;ports;military_base;
Afghanistan;120000;0;;0;;;0;0;0;0;0;0;0;0;;;
Albania;24000;0;;0;;;0;0;0;0;0;0;1;0;Durres;;
Argentina;240000;208000;0;0;1;0;0;0;0;10;16;2;0;3;Buenos Aires;;
Azerbaijan;12000;0;;0;;;0;0;0;0;0;0;0;0;;;
Australia;144000;144000;0;900;;;0;0;1;1;1;2;4;0;Sydney,Perth,Palmerston,Cooktown;;
Bahrain;0;0;;0;;;0;0;0;0;0;0;0;0;;;
Barbados;0;0;;0;;;0;0;0;0;0;0;0;0;;;
Belgium;24000;24000;;0;;;0;0;200;2;1;2;3;0;Bruges;Kinshasa;
Belize;0;0;;0;;;0;0;0;0;0;0;0;0;;;
Bhutan;0;0;;0;;;0;0;0;0;0;0;0;0;;;
Bolivia;48000;0;;0;;;0;0;0;0;0;0;0;0;;;
Brazil;24000;24000;;0;;;100;0;2;2;1;2;3;0;Rio de Janeiro;;
Bulgaria;24000;24000;;0;;;0;0;0;0;0;0;4;0;Varna;;
Cambodia;24000;0;;0;;;0;0;0;0;0;0;0;0;Kampot;;
Canada;24000;48000;48000;300;300;;0;0;400;4;1;2;5;1;Halifax,Vancouver Island,Saint Johns;Emden;
Chile;0;24000;;0;;;0;0;1;1;0;0;2;0;Valparaiso;;
China;200000;1000000;;0;500;;0;0;0;0;0;0;0;0;1616;1616,Yenan;
Colombia;160000;0;;0;;;0;0;1;1;0;0;4;0;Cartagena de Indias;;
Costa Rica;12000;0;;0;;;0;0;0;0;0;0;1;0;;;
Cuba;48000;24000;;0;;;0;0;0;0;0;0;2;0;;;
Czechoslovakia;0;0;;0;;;0;0;0;0;0;0;0;0;;;
Denmark;0;0;;0;;;0;0;0;0;0;0;4;0;;;
Dominican Republic;8000;0;;0;;;0;0;0;0;0;0;1;0;;;
Ecuador;12000;6000;;10;;;0;0;0;0;0;0;1;0;Guayaquil;;
Egypt;24000;0;;0;;;0;0;0;0;0;0;3;0;Alexandria;;
El Salvador;40000;16000;;0;;;0;0;0;0;0;0;1;0;;;
Ethiopia;24000;0;;0;;;0;0;0;0;0;0;0;0;;;
East Turkestan;24000;0;;0;;;0;0;0;0;0;0;0;0;;;
Finland;40000;64000;;0;;;0;0;0;0;0;0;4;0;;;
France;96000;240000;48000;0;200;;0;0;0;0;2;10;10;0;Toulon,Brest,Caen,Dunkirk,Martinique,New Caledonia,Tahiti,Bourbon,Cayenne,Bordeaux;Algiers,Oran,Dakar,Saigon,Mainz;
Greece;120000;120000;;0;;;0;0;0;0;0;0;5;0;;;
Guatemala;24000;0;;0;;;0;0;0;0;0;0;1;0;;;
Haiti;12000;0;;0;;;0;0;0;0;0;0;1;0;;;
Honduras;8000;4000;;0;;;0;0;0;0;0;0;0;0;;;
Hungary;0;0;;0;;;0;0;0;0;0;0;0;0;;;
Hyderabad;120000;0;;0;;;0;0;0;0;0;0;0;0;;;
Iceland;0;0;;0;;;0;0;0;0;0;0;0;0;;;
Indonesia;180000;60000;;0;;;0;0;100;0;0;0;0;0;;;
Persia;48000;24000;;0;;;0;0;0;0;0;0;5;0;Abadan;;
Iraq;18000;0;0;0;;;0;0;0;0;0;0;1;0;Basra;;
Ireland;0;56000;;0;;;0;0;0;0;0;0;1;0;;;
Italy;24000;0;;0;;;0;0;0;0;0;6;10;0;Catania,Brindisi,Genoa,Massa;;
Japan;0;0;;0;;;0;0;0;0;0;0;0;0;Yokohama, Nagasaki, Kyoto, Hiroshima, Aomori;;
Jordan;0;12000;;0;;;0;0;0;0;0;0;0;0;;;
Kuwait;0;0;;0;;;0;0;0;0;0;0;0;0;;;
Laos;12000;0;;0;;;0;0;0;0;0;0;0;0;;;
Lebanon;0;1000;;0;;;0;0;0;0;0;0;1;0;;;
Liberia;0;32000;;0;;;0;0;0;0;0;0;0;0;;;
Luxemburg;0;8000;;0;;;0;0;0;0;0;0;0;0;;;
Mexico;150000;60000;15000;300;1200;;0;0;100;1;0;0;4;0;Veracruz, Acapulco;;
Mongolia;24000;0;;0;;;0;0;0;0;0;0;0;0;;;
Morocco;24000;24000;;0;;;0;0;0;0;0;0;2;0;Casablanca;;
Nepal;24000;24000;;0;;;0;0;0;0;0;0;0;0;;;
Netherlands;160000;72000;24000;0;;;0;0;500;5;1;2;5;0;;Batavia;
New Zealand;48000;48000;;0;;;0;0;0;0;0;0;3;0;;;
Nicaragua;8000;16000;;0;;;0;0;0;0;0;0;0;0;2198;;
Norway;0;80000;;0;;;0;0;0;0;0;0;4;0;;;
Oman;0;0;;0;;;0;0;0;0;0;0;0;0;;;
Panama;24000;16000;;0;;;0;0;0;0;0;0;3;0;;;
Paraguay;24000;0;;0;;;0;0;0;0;0;0;0;0;;;
Peru;132000;68000;;24;120;;0;0;0;0;0;0;2;0;;;
Philippines;48000;8000;;24;120;;0;0;0;0;0;0;2;0;;;
Poland;48000;24000;24000;0;;;0;0;0;0;0;0;5;0;Danzig;Stettin,Breslau;
Portugal;80000;128000;;0;;;0;0;4;4;0;0;5;0;;;
Qatar;0;0;;0;;;0;0;0;0;0;0;0;0;;;
Romania;48000;48000;;0;;;0;0;0;0;1;0;6;0;Constanta;;
Russia;680000;1136000;448000;23600;12200;500;1500;0;0;2;20;0;0;52;St Petersburg,Kola,Konigsberg,Novorossiysk,HaIshenwai,Petropavlovsk;Moscow,St Petersburg, 695, Pritzwalk, Odessa, Poti, Samarkand, Alma Ata, 1082, Chita, Pyongyang,Halle,Bratislava,Prague, Plzen,Chemnitz,Erfurt,Schwerin,Magdeburg,Weimar,Magdeburg,Stendal,Stralsund;
Saudi Arabia;0;0;;0;;;0;0;0;0;0;0;0;0;Jidda;;
Serbia;0;0;;0;;;0;0;0;0;0;0;0;0;Kotor;;
South Africa;48000;24000;;600;;;0;0;0;0;0;0;0;0;Cape Town;;
Southern Rhodesia;0;0;12000;0;;;0;0;0;0;0;0;0;0;;;
Spain;300000;344000;15000;150;600;;0;0;5;5;4;3;10;2;La Coruna,Cadiz,Cartagena,Canary Islands;;
Sweden;0;184000;;0;;;0;0;0;0;0;0;10;0;;;
Switzerland;80000;56000;;0;;;0;0;0;0;0;0;0;0;;;
Syria;40000;40000;;0;;;0;0;0;0;0;0;1;0;Aleppo;;
Republic of China;3800000;500000;15000;0;;;0;0;0;0;1;2;5;0;Taibei;Canton,Nanjing,Tianjin,Xian,Kaifeng,Fuzhou,Chongqing;
Thailand;24000;24000;;0;134;;140;0;0;0;0;0;5;0;;;
Tibet;8000;0;;0;;;0;0;0;0;0;0;0;0;;;
Turkey;720000;30000;15000;150;600;;500;0;100;1;0;0;9;0;Istanbul;;
United Arab Emirates;0;0;;0;;;0;0;0;0;0;0;0;0;;;
United Kingdom;384000;288000;48000;3000;2000;1000;2000;6;2000;102;191;59;420;238;Plymouth, Southampton, Glasgow, Diego Garcia, Gibraltar, Falkland Islands, Ascension,Liverpool;London, Hull, Glasgow, Hamburg, 1755, Nairobi, Dar Es Salaam, Lagos, Kano, Aden, Rangoon, Singapore, Khartoum, Trieste, Hamburg,Hanover;Botswana:inf
United States;0;776000;144000;4800;2000;2500;2500;25;8800;48;149;0;0;245;San Diego,Seattle,Hawaii,Guam,San Antonio,New Orleans,Biloxi,Charleston,Tallahassee,Savannah,Norfolk,Washington,Trenton,Lewiston,Bremen,Okinawa;Bozen,Seoul,Edo,Kyoto,Osaka,Nagasaki,Munich,Nuremburg,Bremen,Cologne;
Uruguay;0;24000;;0;;;0;0;0;0;0;0;0;0;;;
Venezuela;48000;0;;0;;;0;0;0;0;0;0;3;0;;;
Vietnam;72000;120000;;0;;;0;0;0;0;0;0;0;0;Saigon;;
Yemen;80000;56000;;0;;;0;0;0;0;0;0;3;0;Hodeida;;
Yugoslavia;192000;0;;0;;;0;0;0;0;0;0;0;0;Fiume;;
Raj;204000;24000;24000;150;600;;0;0;0;0;0;0;0;0;;Bombay,Delhi, Lahore, Calcutta;
Provincial Democratic Greece;100000;0;;0;;;0;0;0;0;0;0;0;0;;;
