CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
aiib_member;Asian Infrastructure Investment Bank Member ;;;;;;;;x;;;;;;;;;;;;;
aiib_chairmanship;Asian Infrastructure Investment Bank Chairman;;;;;;;;x;;;;;;;;;;;;;
formtheaiib_title;Establish the Asian Infrastructure Investment Bank;;;;;;;;x;;;;;;;;;;;;;
formtheaiib_desc;The Asian Infrastructure Investment Bank (AIIB) is a multilateral development bank (MDB) conceived for the 21st century. Through a participatory process, its founding members are developing its core philosophy, principles, policies, value system and operating platform. The Bank's foundation is built on the lessons of experience of existing MDBs and the private sector. Its modus operandi will be lean, clean and green: lean, with a small efficient management team and highly skilled staff; clean, an ethical organization with zero tolerance for corruption; and green, an institution built on respect for the environment. The AIIB will put in place strong policies on governance, accountability, financial, procurement and environmental and social frameworks.;;;;;;;;x;;;;;;;;;;;;;
jointheaiib_title;Join the Asian Infrastructure Investment Bank;;;;;;;;x;;;;;;;;;;;;;
jointheaiib_desc;The Asian Infrastructure Investment Bank (AIIB) is a multilateral development bank (MDB) conceived for the 21st century. Through a participatory process, its founding members are developing its core philosophy, principles, policies, value system and operating platform. The Bank's foundation is built on the lessons of experience of existing MDBs and the private sector. Its modus operandi will be lean, clean and green: lean, with a small efficient management team and highly skilled staff; clean, an ethical organization with zero tolerance for corruption; and green, an institution built on respect for the environment. The AIIB will put in place strong policies on governance, accountability, financial, procurement and environmental and social frameworks.;;;;;;;;x;;;;;;;;;;;;;
leavetheaiib_title;Leave the Asian Infrastructure Investment Bank;;;;;;;;x;;;;;;;;;;;;;
leavetheaiib_desc;The Asian Infrastructure Investment Bank (AIIB) is a multilateral development bank (MDB) conceived for the 21st century. Through a participatory process, its founding members are developing its core philosophy, principles, policies, value system and operating platform. The Bank's foundation is built on the lessons of experience of existing MDBs and the private sector. Its modus operandi will be lean, clean and green: lean, with a small efficient management team and highly skilled staff; clean, an ethical organization with zero tolerance for corruption; and green, an institution built on respect for the environment. The AIIB will put in place strong policies on governance, accountability, financial, procurement and environmental and social frameworks.;;;;;;;;x;;;;;;;;;;;;;
aiibhigh;High AIIB Aid;;;;;;;;x;;;;;;;;;;;;;
aiibmedium;Medium AIIB Aid;;;;;;;;x;;;;;;;;;;;;;
aiiblow;Low AIIB Aid;;;;;;;;x;;;;;;;;;;;;;
changeaiib_title;Change Asian Infrastructure Investment Bank Aid Levels;;;;;;;;;;;;x
changeaiib_desc;Since we are the chairman of the Asian Infrastructure Investment Bank, perhaps we should use that power to change the Asian Infrastructure Investment Bank aid level to better suit our country's economic needs?;;;;;;;;;;;;x
aiiblow_title;Low Asian Infrastructure Investment Bank Aid Levels;;;;;;;;;;;;x
aiibmedium_title;Medium Asian Infrastructure Investment Bank Aid Levels;;;;;;;;;;;;x
aiibhigh_title;High Asian Infrastructure Investment Bank Aid Levels;;;;;;;;;;;;x
aiiblow_desc;Low Asian Infrastructure Investment Bank Aid Levels to the AIIB members will not help their economy much.;;;;;;;;;;;;x
aiibmedium_desc;Medium Asian Infrastructure Investment Bank Aid Levels to the AIIB members will help their economy a little.;;;;;;;;;;;;x
aiibhigh_desc;High Asian Infrastructure Investment Bank Aid Levels to the AIIB members will help their economy a lot.;;;;;;;;;;;;x
aiibhigh_gp;High AIIB Aid (Creditor Nation);;;;;;;;;;;;x
aiibmedium_gp;Medium AIIB Aid (Creditor Nation);;;;;;;;;;;;x
aiiblow_gp;Low AIIB Aid (Creditor Nation);;;;;;;;;;;;x
