CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
bio_used;Recently Used Biological Weapons;;;;;;;;;;x
EVTDESC1412061;Biological warfare is the use of biological toxins or infectious agents such as bacteria, viruses, and fungi with the intent to kill or incapacitate humans, animals or plants as an act of war. Biological weapons are living organisms or replicating entities (viruses, which are not universally considered "alive") that reproduce or replicate within their host victims. Entomological (insect) warfare is also considered a type of biological weapon. This type of warfare is distinct from nuclear warfare and chemical warfare, which together with biological warfare make up NBC, the military acronym for nuclear, biological, and chemical warfare using weapons of mass destruction. None of these are conventional weapons, which are deployed primarily for their explosive, kinetic, or incendiary potential.;;;;;;;;;;x
develop_bio_weapons;Developing Biological Weapons;;;;;;;;;;x
bio_nation;Possess Biological Weapons;;;;;;;;;;x
biological_attack;Biological Weapons Ravaging our Nation;;;;;;;;;;x
vaccine_development;Vaccine for Biological Weapons Outbreak in development;;;;;;;;;;x
development_bio_weapons_title;Develop Biological Weapons;;;;;;;;;;x
development_bio_weapons_desc;Biological warfare is the use of biological toxins or infectious agents such as bacteria, viruses, and fungi with the intent to kill or incapacitate humans, animals or plants as an act of war. Biological weapons are living organisms or replicating entities (viruses, which are not universally considered "alive") that reproduce or replicate within their host victims. Entomological (insect) warfare is also considered a type of biological weapon. This type of warfare is distinct from nuclear warfare and chemical warfare, which together with biological warfare make up NBC, the military acronym for nuclear, biological, and chemical warfare using weapons of mass destruction. None of these are conventional weapons, which are deployed primarily for their explosive, kinetic, or incendiary potential.;;;;;;;;;;x
remove_bio_weapons_title;Destroy our stocks of Biological Weapons;;;;;;;;;;x
remove_bio_weapons_desc;Biological warfare is the use of biological toxins or infectious agents such as bacteria, viruses, and fungi with the intent to kill or incapacitate humans, animals or plants as an act of war. Biological weapons are living organisms or replicating entities (viruses, which are not universally considered "alive") that reproduce or replicate within their host victims. Entomological (insect) warfare is also considered a type of biological weapon. This type of warfare is distinct from nuclear warfare and chemical warfare, which together with biological warfare make up NBC, the military acronym for nuclear, biological, and chemical warfare using weapons of mass destruction. None of these are conventional weapons, which are deployed primarily for their explosive, kinetic, or incendiary potential.;;;;;;;;;;x
use_bio_weapons_title;Use Biological Weapons against our opponents;;;;;;;;;;x
use_bio_weapons_desc;As we possess Biological Weapons, we can use it against our enemies in the hope of damaging their nation and reducing their war capacity. The weapons will be released into their civilian centres to demoralise their citizens and kill off their workers.\n\n§YThere is a risk of the biological weapons spreading beyond just the target country§W;;;;;;;;;;x
develop_vaccine_title;Develop a vaccine to counteract the Biological Weapons ravaging our nation;;;;;;;;;;x
develop_vaccine_desc;A vaccine is a biological preparation that provides active acquired immunity to a particular disease. A vaccine typically contains an agent that resembles a disease-causing microorganism and is often made from weakened or killed forms of the microbe, its toxins or one of its surface proteins. The agent stimulates the body's immune system to recognise the agent as a threat, destroy it, and keep a record of it so that the immune system can more easily recognise and destroy any of these microorganisms that it later encounters.;;;;;;;;;;x
