CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
cdb_member;Caribbean Development Bank Member ;;;;;;;;x;;;;;;;;;;;;;
cdb_chairmanship;Caribbean Development Bank Chairman;;;;;;;;x;;;;;;;;;;;;;
formthecdb_title;Establish the Caribbean Development Bank;;;;;;;;x;;;;;;;;;;;;;
formthecdb_desc;The Caribbean Development Bank (CDB) is a financial institution which assists Caribbean nations in financing social and economic programs in its member countries. CDB was established by an Agreement signed on October 18, 1969, in Kingston, Jamaica, and entered into force on January 26, 1970. The permanent headquarters of the bank is located at Wildey, St. Michael, Barbados; adjacent to the campus of the Samuel Jackman Prescod Polytechnic. There are no other offices of the bank. The headquarters serves all of the regional borrowing member countries with staff recruited from its members.;;;;;;;;x;;;;;;;;;;;;;
jointhecdb_title;Join the Caribbean Development Bank;;;;;;;;x;;;;;;;;;;;;;
jointhecdb_desc;The Caribbean Development Bank (CDB) is a financial institution which assists Caribbean nations in financing social and economic programs in its member countries. CDB was established by an Agreement signed on October 18, 1969, in Kingston, Jamaica, and entered into force on January 26, 1970. The permanent headquarters of the bank is located at Wildey, St. Michael, Barbados; adjacent to the campus of the Samuel Jackman Prescod Polytechnic. There are no other offices of the bank. The headquarters serves all of the regional borrowing member countries with staff recruited from its members.;;;;;;;;x;;;;;;;;;;;;;
leavethecdb_title;Leave the Caribbean Development Bank;;;;;;;;x;;;;;;;;;;;;;
leavethecdb_desc;The Caribbean Development Bank (CDB) is a financial institution which assists Caribbean nations in financing social and economic programs in its member countries. CDB was established by an Agreement signed on October 18, 1969, in Kingston, Jamaica, and entered into force on January 26, 1970. The permanent headquarters of the bank is located at Wildey, St. Michael, Barbados; adjacent to the campus of the Samuel Jackman Prescod Polytechnic. There are no other offices of the bank. The headquarters serves all of the regional borrowing member countries with staff recruited from its members.;;;;;;;;x;;;;;;;;;;;;;
cdbhigh;High CDB Aid;;;;;;;;x;;;;;;;;;;;;;
cdbmedium;Medium CDB Aid;;;;;;;;x;;;;;;;;;;;;;
cdblow;Low CDB Aid;;;;;;;;x;;;;;;;;;;;;;
changecdb_title;Change Caribbean Development Bank Aid Levels;;;;;;;;;;;;x
changecdb_desc;Since we are the chairman of the Caribbean Development Bank, perhaps we should use that power to change the Caribbean Development Bank aid level to better suit our country's economic needs?;;;;;;;;;;;;x
cdblow_title;Low Caribbean Development Bank Aid Levels;;;;;;;;;;;;x
cdbmedium_title;Medium Caribbean Development Bank Aid Levels;;;;;;;;;;;;x
cdbhigh_title;High Caribbean Development Bank Aid Levels;;;;;;;;;;;;x
cdblow_desc;Low Caribbean Development Bank Aid Levels to the cdb members will not help their economy much.;;;;;;;;;;;;x
cdbmedium_desc;Medium Caribbean Development Bank Aid Levels to the cdb members will help their economy a little.;;;;;;;;;;;;x
cdbhigh_desc;High Caribbean Development Bank Aid Levels to the cdb members will help their economy a lot.;;;;;;;;;;;;x
cdbhigh_gp;High CDB Aid (Creditor Nation);;;;;;;;;;;;x
cdbmedium_gp;Medium CDB Aid (Creditor Nation);;;;;;;;;;;;x
cdblow_gp;Low CDB Aid (Creditor Nation);;;;;;;;;;;;x
