CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
nuclear_power_ge_title;Implement Nuclear Power in $COUNTRY$;;;;;;;;x;;;;;;;;;;;;;
nuclear_power_ge_desc;Nuclear power is the use of nuclear reactions that release nuclear energy to generate heat, which most frequently is then used in steam turbines to produce electricity in a nuclear power plant. The term includes nuclear fission, nuclear decay and nuclear fusion. Presently, the nuclear fission of elements in the actinide series of the periodic table produce the vast majority of nuclear energy in the direct service of humankind, with nuclear decay processes, primarily in the form of geothermal energy, and radioisotope thermoelectric generators, in niche uses making up the rest.;;;;;;;;x;;;;;;;;;;;;;
wind_power_ge_title;Implement Wind Power Farms in $COUNTRY$;;;;;;;;x;;;;;;;;;;;;;
wind_power_ge_desc;Wind power is the use of air flow through wind turbines to mechanically power generators for electric power. Wind power, as an alternative to burning fossil fuels, is plentiful, renewable, widely distributed, clean, produces no greenhouse gas emissions during operation, consumes no water, and uses little land. The net effects on the environment are far less problematic than those of nonrenewable power sources. Wind farms consist of many individual wind turbines which are connected to the electric power transmission network. Onshore wind is an inexpensive source of electric power, competitive with or in many places cheaper than coal or gas plants.;;;;;;;;x;;;;;;;;;;;;;
solar_energy_ge_title;Implement Solar Energy Farms in $COUNTRY$;;;;;;;;x;;;;;;;;;;;;;
solar_energy_ge_desc;Solar energy is radiant light and heat from the Sun that is harnessed using a range of ever-evolving technologies such as solar heating, photovoltaics, solar thermal energy, solar architecture, molten salt power plants and artificial photosynthesis. It is an important source of renewable energy and its technologies are broadly characterised as either passive solar or active solar depending on how they capture and distribute solar energy or convert it into solar power. Active solar techniques include the use of photovoltaic systems, concentrated solar power and solar water heating to harness the energy. The large magnitude of solar energy available makes it a highly appealing source of electricity.;;;;;;;;x;;;;;;;;;;;;;
bioenergy_ge_title;Implement the usage of Bioenergy in $COUNTRY$;;;;;;;;x;;;;;;;;;;;;;
bioenergy_ge_desc;Bioenergy is renewable energy made available from materials derived from biological sources. Biomass is any organic material which has stored sunlight in the form of chemical energy. As a fuel it may include wood, wood waste, straw, manure, sugarcane, and many other by-products from a variety of agricultural processes. In its most narrow sense it is a synonym to biofuel, which is fuel derived from biological sources. In its broader sense it includes biomass, the biological material used as a biofuel, as well as the social, economic, scientific and technical fields associated with using biological sources for energy. This is a common misconception, as bioenergy is the energy extracted from the biomass, as the biomass is the fuel and the bioenergy is the energy contained in the fuel.;;;;;;;;x;;;;;;;;;;;;;
fusion_power_ge_title;Implement Fusion Power in $COUNTRY$;;;;;;;;x;;;;;;;;;;;;;
fusion_power_ge_desc;Fusion power is energy generated by nuclear fusion, or, more specifically, the use of fusion reactions to produce heat for electricity generation. Fusion reactions fuse two lighter atomic nuclei to form a heavier nucleus, releasing energy. The fusion reaction normally takes place in a plasma of deuterium and tritium heated to millions of degrees. In stars gravity contains these "fuels". Outside of a star, the most researched way to confine the plasma at these temperatures while reactions take place is to use electric or magnetic fields. The major challenge in realising fusion power is to engineer a system that can confine the plasma long enough at high enough temperature and density. As a source of power nuclear fusion has several theoretical advantages over fission.;;;;;;;;x;;;;;;;;;;;;;
geothermal_energy_ge_title;Implement Geothermal Power in $COUNTRY$;;;;;;;;x;;;;;;;;;;;;;
geothermal_energy_ge_desc;Geothermal power is cost-effective, reliable, sustainable, and environmentally friendly, but has historically been limited to areas near tectonic plate boundaries. Recent technological advances have dramatically expanded the range and size of viable resources, especially for applications such as home heating, opening a potential for widespread exploitation. Geothermal wells release greenhouse gases trapped deep within the earth, but these emissions are much lower per energy unit than those of fossil fuels. The Earth's geothermal resources are theoretically more than adequate to supply humanity's energy needs, but only a very small fraction may be profitably exploited. Drilling and exploration for deep resources is very expensive. Forecasts for the future of geothermal power depend on assumptions about technology, energy prices, subsidies, plate boundary movement and interest rates.;;;;;;;;x;;;;;;;;;;;;;
new_climate_deal_timer;Recently Hosted a Climate Change Summit;;;;;;;;x;;;;;;;;;;;;;
new_climate_deal_title;Propose a new Climate Change Summit;;;;;;;;x;;;;;;;;;;;;;
new_climate_deal_1_title;Propose a new Climate Change Summit;;;;;;;;x;;;;;;;;;;;;;
new_climate_deal_1_desc;We can propose a new Climate Change Summit to help stem the rising Global Temperatures and delay the onset on greater impacts from Global Warming. The success of the Conference will depend on your relations with the rest of the world and the ideologies of the different world governments.;;;;;;;;x;;;;;;;;;;;;;
new_climate_deal_desc;We can propose a new Climate Change Summit to help stem the rising Global Temperatures and delay the onset on greater impacts from Global Warming. The success of the Conference will depend on your relations with the rest of the world and the ideologies of the different world governments.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411120;A Climate Change Conference was held in$YEAR$ to dicuss the ongoing Climate Change Crisis. The Conference proposed significant increases in Carbon Dioxide emissions control and decreases in other forms of pollution. The event was sponsored by the United Nations and was attended by almost every nation in the world. The Conference also set out guidelines on how to tackle Climate Change in the coming decades. The Conference ended with the participating nations plegding to halt Climate Change though disagreements between how to acheive the aim continues.;;;;;;;;x;;;;;;;;;;;;;
join_ipcc_title;Join the Inter-Governmental Panel on Climate Change;;;;;;;;x;;;;;;;;;;;;;
join_ipcc_desc;The Intergovernmental Panel on Climate Change (IPCC) is a scientific and intergovernmental body under the auspices of the United Nations, set up at the request of member governments, dedicated to the task of providing the world with an objective, scientific view of climate change and its political and economic impacts. It was first established in 1988 by two United Nations organisations, the World Meteorological Organisation (WMO) and the United Nations Environment Programme (UNEP), and later endorsed by the United Nations General Assembly through Resolution 43/53. Membership of the IPCC is open to all members of the WMO and UNEP. The IPCC produces reports that support the United Nations Framework Convention on Climate Change (UNFCCC), which is the main international treaty on climate change. The ultimate objective of the UNFCCC is to "stabilise greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system". IPCC reports cover "the scientific, technical and socio-economic information relevant to understanding the scientific basis of risk of human-induced climate change, its potential impacts and options for adaptation and mitigation.";;;;;;;;x;;;;;;;;;;;;;
