CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
XIJ;Xinjiang;;x;;;;;;;;;;;;;;;;
XIJ_ADJ;Xinjiang;;x;;;;;;;;;;;;;;;;
EVTDESC8013807;With China still embroiled in war - now with itself rather than Japan - Xinjiang has once more been left as a functionally autonomous frontier of the Chinese state. Left to fend for itself, wracked with political and economic instability, and without much support from the rest of China the long-standing tensions between the ethnic Uyghur population and the ruling Chinese have since boiled over into a war that threatens China's loosening grip over its western reaches. \n\n Already the Uyghur people have risen up to win their liberation from China. With the 'Second East Turkestan Republic' standing triumphant in the north, and support from the USSR continuing to provide legitimacy, the position of the revolution against Chinese rule has never been stronger. Even still, there remain obstacles to creating a Uyghur state - the leadership of the new Republic is as divided as the Uyghur people on the future of the republic, with the only uniting factor being the threat of continued Chinese rule.;;x;;;;;;;;;;;;;;;;
EVTDESC8013808;For over a decade now the Soviets have stood by the 'Frontier' lands of China and its people, providing aid to Uyghur rebels, helping to organize political organization, and even briefly siding with the former governor of the region Sheng Shicai to advance the cause of socialism and equality within the province. The most recent manifestation of this support has been the Second East Turkestan Republic, made up of exiles that were based out of the USSR prior to their return to their homeland. \n\n However, with the peace treaties that followed the Second World War there has come demands to 'withdraw' from the region entirely - facilitating a return to the Republic of China, which enjoys special privileges on the newly created UNSC. While many within the Soviet leadership are sure to take issue with the abandonment of the Uyghurs, Stalin has voiced his support in following through with the agreements reached - hoping instead to consolidate his influence among Eastern Europe and foster better relations with the advancing forces of Mao in China by facilitating the removal of the more traditionalist Uyghur leader Tore in favor of those more friendly to the prospect of peace.;;x;;;;;;;;;;;;;;;;
EVTDESC8013809;The Soviets have made a sudden move today by recalling Elihan Tore back to the Soviet Union. While Tore has served as the de facto head of the Second East Turkestan Republic since its creation, tension between he and the Soviet leadership has only flared in recent months. With the conclusion of the Second World War, and the surrender of both Japan and Germany aid from the Soviet Union has been replaced with increasing pressure to cede to at least some Chinese demands, demands that will be made easier with Tore's departure from the nation and power instead falling onto the more Moscow aligned Ehmetian Qasim.;;x;;;;;;;;;;;;;;;;
EVTDESC8013810;Hoping to put an end to hostilities that have plagued the province now for the past few years, the Xinjiang provincial government has come to us with an offer for a ceasefire and negotiations for an end to our aspirations for independence. While at first such an offer seems almost unthinkable to consider, they haven't come empty-handed. Instead, there are promises to work towards a compromise that will allow autonomy for our people and potential statehood within Xinjiang's existing government. Even still, such a move is likely to dash hopes of the more hardline members of our government.;;x;;;;;;;;;;;;;;;;
EVTDESC8013811;East Turkestan, in a surprising move, has accepted our offer for a ceasefire. Already fighting is stopping across the nation - with only a few small skirmishes continuing in the more remote areas and among unaffiliated bands of rebels. While this on its own will do little to end tensions, it is a first step towards securing peace.;;x;;;;;;;;;;;;;;;;
EVTDESC8013812;Despite our best efforts to reach a ceasefire agreement, negotiations have broken down yet again. With this final blow its likely the only solution to the issue of the Second East Turkestan republic will be a violent one. While our people are weary of war and our government unstable, we will persevere and attempt to quell unrest in China's furthest reaches.;;x;;;;;;;;;;;;;;;;
EVTDESC8013813;With the ceasefire already implemented, negotiations have been underway on a more permanent agreement with the Xinjiang government on the status of the East Turkestan Republic and the Uyghur people that for so long have faced repression at the hands of the Chinese. So far these negotiations have produced an interested proposal - one of a coalition government in which the leadership of East Turkestan will enjoy administrative and political power within the northern regions of the province in exchange for an end to hostilities and a reunification with China. While obviously this deal means an end to our statehood, the chances of it securing a future for the Uyghur people are surely worth it.;;x;;;;;;;;;;;;;;;;
EVTDESC8013814;The leadership of the rebellious north has accepted to our proposal to unite under the common banner as part of a coalition government! While this will limit Xinjiang's authority across the province, it is a small price to pay for stability and security. With luck, this still shaky relationship will prove to be lasting.;;x;;;;;;;;;;;;;;;;
EVTDESC8013815;With the decision of the Second East Turkestan Republic's leadership to reject our offer of a coalition government, a devastating blow has been dealt to the efforts for a peaceful resolution to one of the provinces many woes. Even the ceasefire, shaky and tenuous, has started to break - with reports of fighting breaking out once more coming in from across the north as it seems the only path forward is one of a military suppression of the northern regions of the nation.;;x;;;;;;;;;;;;;;;;
EVTDESC8013816;With the surrender of the last holdouts of the 'Xinjiang' government to East Turkestani forces, the long-standing Chinese rule of the so-called 'Frontier' has ended. Already celebrations have started to take place in major cities as word spreads, with the leadership busy drafting a formalized constitution for a new state as they prepare for elections and the creation of more concrete governing structures. A vast majority of the leadership hopes to create a state modeled after either Mongolia or the Soviet Union, aiming to replicate the economic growth and industrialization in the relatively undeveloped East Turkestan - a desire opposed by more moderate figures that hope for a transitional phase before the Uyghur people push forward towards more hardline socialism.;;x;;;;;;;;;;;;;;;;
EVTDESC8013817;The Union of Soviet Socialist Republics has long stood as an ally to the Uyghur people, having supported the Second East Turkestan Republic and helped to educate and advise many of those that now find themselves in positions of power within its government. This on its own has driven many to desire a more Soviet aligned future for our new state, however two more major factors have turned us towards our comrades west – those being China and the emerging Cold War. \n\n It is hoped that Soviet alignment will provide protection from China, who will no doubt desire a reclamation of the region once the Civil War finally ends. Soviet protection would massively deter any efforts to undermine our independence. Not only that, but the emerging economic bloc of socialist nations headed by the Soviets also provides an opportunity to develop our abysmal economy that has been ruined by colonialism and years of war.;;x;;;;;;;;;;;;;;;;
EVTDESC8013818;Decades of instability, warlordism, corruption war, social strife, and political infighting have seen China torn asunder. Nowhere is this current more evident than in Xinjiang, where the provincial government has been ousted and overthrown by rebel groups aligned with the Soviets who aim to destabilize and divide us for their own aims. However, the time has come to present this self-proclaimed state with an ultimatum – to join with a united China and cede power back to the legitimate government or to face an invasion from China.;;x;;;;;;;;;;;;;;;;
EVTDESC8013819;With a KMT victory in the Chinese Civil War, the leader of China Chiang has presented us with an ultimatum regarding our separation from China and aspirations from statehood. He has asked that we lay down our weapons and arms, end our ‘rebellion’, cede power back to the Xinjiang regional government, and rejoin China - If we refuse, he has threatened to invade. While China’s armies are likely heavily weakened from its Civil War, even the more hardline among the government are doubtful about how long an independent and isolated East Turkestan could stand up to the entire nation – though even still many are more than prepared to fight for their hard-earned freedom.;;x;;;;;;;;;;;;;;;;
EVTDESC8023800;With China still embroiled in war - now with itself rather than Japan - Xinjiang has once more been left as a functionally autonomous frontier of the Chinese state. Left to fend for itself, wracked with political and economic instability, and without much support from the rest of China the long-standing tensions between the ethnic Uyghur population and the ruling Chinese have since boiled over into a war that threatens China's loosening grip over its western reaches. \n\n Since 1944 Xinjiang has been struggling to contain the rebellious provinces in the North, with the self-proclaimed 'Second East Turkestan Republic' - with support from the Soviet Union - continuing to push for liberation and self-determination. While their goals, as of yet, remain out of reach the tenuous situation in the rest of the province has shaken faith in the current governor, as well as in the ability to move forward without significant change to the governing structures put in place by the KMT.;;x;;;;;;;;;;;;;;;;
EVTDESC8023801;Since the 1930s there have been a series of rebellions and conflicts within Xinjiang, mainly centered around the ethnic divide between the ruling Chinese and the native Uyghur population. Such conflict has fueled political instability, economic ruin, and a dwindling support for the institutions of the Republic of China. These matters were only made worse by the war with Japan and now the Civil War as they threaten to rend Xinjiang from China entirely. To that end many within the government are proposing a solution, hopefully permanent, to conflict in the Chinese frontier. A ceasefire would go a long way to securing stability in the region, and allow both the legitimate government as well as the self-proclaimed Uyghur state to work together to find common ground as they work towards a united China.;;x;;;;;;;;;;;;;;;;
EVTDESC8023802;Facing a crumbling economy, social and political unrest, decreasing faith in the KMT government in the region, and a full on rebellion from the ethnic Uyghur population the central government in Beijing has decided to exert what little authority they have over the province. They are calling for the removal of the  current governor, Wu Zhongxin – a member of the right wing of the KMT and its CC Clique – who has served since 1944. Instead a more moderate figure, Zhang Zhizhong, has risen to replace him. \n\n Already the new governor has drawn criticism from the strong influence of the CC Clique in the region for his more left-leaning stance and the emphasis on cooperation with the rebel groups. Even still, many hope that Zhizhong will be able to finally bring stability to the province and return to under the direct influence of the rest of the mainland once more.;;x;;;;;;;;;;;;;;;;
EVTDESC8023803;With a ceasefire secured, now comes efforts for a lasting peace. One of the most plausible proposals, and likely the last chance for a non-violent resolution to the Uyghur issue, is one in which we offer to enter into a coalition with the rebel government in exchange for a cessation of hostilities and joint efforts on rebuilding Xinjiang as a Chinese province. Its likely that such a proposal will draw anger from more loyalist elements of the government – as well as the central government based in Nanjing – however it remains one of the few options given the situation within the province.;;x;;;;;;;;;;;;;;;;
