CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
destroy_unesco_monuments_title;Destroy Enemy UNESCO World Heritage Sites;;;;;;;;;;X;;;;;;;
destroy_unesco_monuments_desc;We currently control some enemy territory that contain UNESCO World Heritage Sites. We can choose to commit the war crime of destroying those monuments to inflict war exhaustion and prestige loss against the applicable countries. Destroying the monuments of our enemies will reduce our war exhaustion by 1 for every UNESCO site eliminated. History will not look fondly upon our nation for this but desperate times call for desperate measures.;;;;;;;;;;X;;;;;;;
EVTDESC1610073;We have received reports that the $FROMCOUNTRY_ADJ$ forces in $COUNTRY$ have destroyed several UNESCO World Heritage Sites in the territories they occupy in $COUNTRY$. This is a gross violation of international law and one that they must be punished for. Citizens in $CAPITAL$ have started to take a more belligerent tone against $FROMCOUNTRY$ and are demanding for revenge.;;;;;;;;;;X;;;;;;;
martial_law_timer;Recent illegal State of Emergency;;;;;;;;;;X;;;;;;;
martial_law_timer_desc;The Supreme Court ruled that the government invoked a State of Emergency illegally and as part of the ruling, the government is banned from invoking it again for one year.;;;;;;;;;;X;;;;;;;
EVTDESC1610071;The $COUNTRY_ADJ$ recently invoked a State of Emergency which granted the $COUNTRY_ADJ$ Government sweeping powers. Such a declaration can only be made when there is a real emergency in $COUNTRY$. This means having an average militancy of at least 3 if $COUNTRY$ is a vassal state or at least 6 if independent. If $COUNTRY$ is a vassal, the overlord can choose to end our state of emergency which will cause a reduction in the popularity of the ruling party.;;;;;;;;;;X;;;;;;;
EVTDESC1610072;$FROMCOUNTRY$, a satellite state of $COUNTRY$, has enacted a State of Emergency on dubious grounds. This has attracted international condemnation as it goes against the rights of the $FROMCOUNTRY_ADJ$ people. The international community urges us to take steps to revoke the State of Emergency and restore the civil liberties stripped from the $FROMCOUNTRY_ADJ$ people by the draconian law. Our foreign minister warns that intervention in the affairs of $FROMCOUNTRY$, a supposedly autonomous country within the $COUNTRY_ADJ$ Commonwealth will stir nationalistic or communistic sentiments that can threaten the continued existence of $FROMCOUNTRY$ as a $COUNTRY_ADJ$ vassal.;;;;;;;;;;X;;;;;;;
EVTDESC1610070;The Joint Chiefs of Staff of the $COUNTRY_ADJ$ Armed Forces have written a strongly worded letter criticising the $COUNTRY_ADJ$ Government's lack of funding to the military. They state that this leaves $COUNTRY$ exposed to our enemies. The Chiefs of Staff further stress that unless the $MONARCHTITLE$ authorises additional funding, they cannot ensure that disgruntled members of the military will not take action against what they perceive to be a wrong against the $COUNTRY_ADJ$ people.;;;;;;;;;;X;;;;;;;
EVTDESC8015860;In late 1997, Linda Tripp began secretly recording conversations with her friend Monica Lewinsky, a former intern and Department of Defense employee. In those recordings, Lewinsky divulged that she had had a sexual relationship with Clinton. Tripp shared this information with Jones's lawyers, who added Lewinsky to their witness list in December 1997. According to the Starr Report, a U.S. federal government report written by appointed Independent Counsel Ken Starr on his investigation of President Clinton, after Lewinsky appeared on the witness list Clinton began taking steps to conceal their relationship. Some of the steps he took included suggesting to Lewinsky that she file a false affidavit to misdirect the investigation, encouraging her to use cover stories, concealing gifts he had given her, and attempting to help her find gainful employment to try to influence her testimony.;;;;;;;;;;X;;;;;;;
EVTDESC8015861;The impeachment of Bill Clinton was initiated on October 8, 1998, when the United States House of Representatives voted to commence impeachment proceedings against Bill Clinton, the 42nd president of the United States, for "high crimes and misdemeanors". The specific charges against Clinton were lying under oath and obstruction of justice. The charges stemmed from a sexual harassment lawsuit filed against Clinton by Paula Jones and from Clinton's testimony denying that he had engaged in a sexual relationship with White House intern Monica Lewinsky. The catalyst for the president's impeachment was the Starr Report, a September 1998 report prepared by Independent Counsel Ken Starr for the House Judiciary Committee. On December 19, 1998, Clinton became the second American president to be impeached, when the House formally adopted articles of impeachment and forwarded them to the United States Senate for adjudication. A trial in the Senate began in January 1999, with Chief Justice William Rehnquist presiding.;;;;;;;;;;X;;;;;;;
