CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
EVTDESC1412001;In the year 1949, a series of relevant regulations were promulgated by ROC government, including the Regulations to prevent unlawful assembly, association, procession, petition, strike under martial law, the Measures to regulate newspapers, magazines and book publication under the martial law and the Regulations for the punishment of rebellions. Under the martial law, the formation of new political parties was prohibited except the Kuomintang (KMT), the Chinese Youth Party and the China Democratic Socialist Party. In order to implement the strict political censorship, the lianzuo or collective responsibility system was adopted among the civil servants from July 9, 1949 and soon spread to all the enterprises and institutions, according to which no one would be employed without a guarantor. The government was authorized by the martial law to deny the right of assembly, free speech and publication in Taiwanese Hokkien. Newspapers were asked to run propaganda articles or make last-minute editorial changes to suit the government's needs. At the beginning of the martial law era, "newspapers could not exceed six pages. The number was increased to eight pages in 1958, 10 in 1967 and 12 in 1974. There were only 31 newspapers, 15 of which were owned by either the KMT, the government or the military.";;;;;;;;x
end_white_terror_title;End Martial Law in The Republic of China;;;;;;;;x
end_white_terror_desc;Enforcement was relaxed after Chiang Kai-shek's death in 1975. The lifting of Martial Law was proclaimed by President Chiang Ching-kuo on July 14, 1987 followed by the liberalisation and democratisation of Taiwan. Before that, The Democratic Progressive Party (DPP) - was illegally established in September 1986 and won 21.6 percent of the vote in December legislative elections that year. Lifting of Martial Law means opposition political parties can be formed legally for the first time, giving Taiwan's fragmented but increasingly vocal opposition a new chance to organise. But even after the law was lifted, tight restrictions on freedom of assembly, speech and the press remained in place, having been written into a National Security Law, which had been passed a few days before the lift of Martial Law.;;;;;;;;x
kmt_white_terror;Martial Law in Taiwan (White Terror);;;;;;;;x
kmt_white_terror_desc;Under the martial law, the formation of new political parties was prohibited except the Kuomintang (KMT), the Chinese Youth Party and the China Democratic Socialist Party. In order to implement the strict political censorship, the lianzuo or collective responsibility system was adopted among the civil servants from July 9, 1949 and soon spread to all the enterprises and institutions, according to which no one would be employed without a guarantor. The government was authorised by the martial law to deny the right of assembly, free speech and publication in Taiwanese Hokkien. Newspapers were asked to run propaganda articles or make last-minute editorial changes to suit the government's needs. At the beginning of the martial law era, "newspapers could not exceed six pages. The number was increased to eight pages in 1958, 10 in 1967 and 12 in 1974. There were only 31 newspapers, 15 of which were owned by either the KMT, the government or the military.";;;;;;;;x
license_raj;License Raj (Excessive Regulations);;;;;;;;x
colonial_heritage;Negative Colonial Heritage;;;;;;;;x
call_empire_to_help_title;Call our Empire to wage war with us;;;;;;;;x
call_empire_to_help_desc;Our Empire stands ready to fight with us to acheive victory.;;;;;;;;x
called_allies1;Recently called our vassals to aid us in war;;;;;;;;x
