CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
anthropocene_extinction;Anthropocene Extinction;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
usstatehood_we_have_applied;Apply for Statehood;Demande de rattachement en tant qu'?at;Antrag auf Souver?it?;;Solicitud de ingreso como estado;;;;;;;;;x;;;;
navy_stealth;Stealth Ships;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
in_situ_leaching;In Situ Leaching;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
satellite_mapping;Remote Sensing;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
three_d_printing;At-Home Fabrication;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
unconventional_craft;Military Saucers;;;;;;;;;;;;;x;;;;;;;;
surveillance_capitalism;Surveillance Capitalism;Surveillance Capitalism;Surveillance Capitalism;;Surveillance Capitalism;;;;;;;;;x;;;;;;;;;;;;;;;;
surveillance_capitalism_desc;At this point large ad-funded social websites exert considerable influence over popular discourse.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
safety_systems;Safe Factories;;;;;;;x
EMTs;Emergency Medical Services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
i_drone;Military Drones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
i_propaganda;Public Relations;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
payday_loan;Payday Loans;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
shipyard_automation;Orbital Engineering;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
credit_cards;Electronic Credit Cards;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
microfinance;Microfinance;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
aluminum_recycling;Aluminum Recycling;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
plastic_containers;Plastic Packaging;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
safety_gear;Safety Equipment;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
modern_shipping;Modern Shipping System;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
seabees;Construction Battalions;;;;;;;x
aeroponics;Aeroponics;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
i_aegis_defense;Aegis Ballistic Missile Defense System;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
transhumanism;Transhumanism;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
i_ascent_phase_defense;Ascent Phase Defense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
intermodal_container;Intermodal Container;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
i_factory_robots;Factory Robots;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
cnc_machine;CNC Machine;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
internet_society;Social Distancing;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
precision_agriculture;Precision Agriculture;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
littoral_combat_doctrine;Littoral Combat Strategy;;;;;;;;x
international_supply_chains;International Supply Chains;;;;;;;;x
i_salvo_combat_model;Salvo Combat Doctrine;;;;;;;;x
i_cooperative_strategy;Cooperative Strategy;;;;;;;;x
i_seabasing;Seabasing;;;;;;;;x
national_identity;National Identity;;;;;;;;x
heave_compensation;Underwater Heave Compensation;;;;;;;x
navy_block_construction;Welded Block Shipbuilding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
