CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
party_campaigning_timer;Party Campaign in Progress;;;;;;;;;;X;;;;;;;
party_campaigning_timer_desc;Party operatives are canvassing the country to spread the leader's political message.;;;;;;;;;;X;;;;;;;
show_campaigning_decision_title;Show Party Campaigning Options;;;;;;;;;;X;;;;;;;
show_campaigning_decision_desc;This decision shows the $MONARCHTITLE$ a list of possible party political campaigns he can embark on to influence the ideology or issue support of the $COUNTRY_ADJ$ citizens. The party has however only limited resources at its disposal so these events can only be fired once every 6 months.;;;;;;;;;;X;;;;;;;
hide_campaigning_decision_title;Hide Party Campaigning Options;;;;;;;;;;X;;;;;;;
hide_campaigning_decision_desc;This decision hides from the $MONARCHTITLE$'s view, a list of possible party political campaigns he can embark on to influence the ideology or issue support of the $COUNTRY_ADJ$ citizens. The party has only limited resources at its disposal so these events can only be fired once every 6 months.;;;;;;;;;;X;;;;;;;
campaigning_farmer_title;Campaign for $COUNTRY_ADJ$ Farmers;;;;;;;;;;X;;;;;;;
campaigning_farmer_desc;A farmer is a person engaged in agriculture, raising living organisms for food or raw materials. The term usually applies to people who do some combination of raising field crops, orchards, vineyards, poultry, or other livestock. A farmer might own the farmed land or might work as a laborer on land owned by others, but in advanced economies, a farmer is usually a farm owner, while employees of the farm are known as farm workers, or farmhands.;;;;;;;;;;X;;;;;;;
campaigning_labourers_title;Campaign for $COUNTRY_ADJ$ Miners;;;;;;;;;;X;;;;;;;
campaigning_labourers_desc;A miner is a person who extracts ore, coal, or other mineral from the earth through mining. There are two senses in which the term is used. In its narrowest sense, a miner is someone who works at the rock face cutting, blasting, or otherwise working and removing the rock. In a broader sense, a "miner" is anyone working within a mine, not just a worker at the rock face. Mining is one of the most dangerous trades in the world. In some countries, miners lack social guarantees and in case of injury may be left to cope without assistance.;;;;;;;;;;X;;;;;;;
campaigning_craftsmen_title;Campaign for $COUNTRY_ADJ$ Factory Workers;;;;;;;;;;X;;;;;;;
campaigning_craftsmen_desc;The factory system is a method of manufacturing using machinery and division of labour. Because of the high capital cost of machinery and factory buildings, factories were typically privately owned by wealthy individuals who employed the operative labour. Use of machinery with the division of labour reduced the required skill level of workers and also increased the output per worker. Industrialisation has placed a great deal of power into the hands of factory workers such that many  nations cannot ignore their plight.;;;;;;;;;;X;;;;;;;
campaigning_business_title;Campaign for $COUNTRY_ADJ$ Businessmen;;;;;;;;;;X;;;;;;;
campaigning_business_desc;A businessman or businesswoman is a person involved in the business sector – in particular someone undertaking activities (commercial or industrial) for the purpose of generating cash flow, sales, and revenue by utilising a combination of human, financial, intellectual and physical capital with a view to fueling economic development and growth.;;;;;;;;;;X;;;;;;;
campaigning_middle_class_title;Campaign for the $COUNTRY_ADJ$ Middle Class;;;;;;;;;;X;;;;;;;
campaigning_middle_class_desc;The middle class is a class of people in the middle of a social hierarchy. Its usage has often been vague whether defined in terms of occupation, income, education or social status. The definition by any author is often chosen for political connotations. Writers on the left favor the lower-status "working class". Modern social theorists—and especially economists—have defined and re-defined the term "middle class" in order to serve their particular social or political ends. Within capitalism, "middle-class" initially referred to the bourgeoisie, later, with the further differentiation of classes as capitalist societies developed, the term came to be synonymous with the term petite bourgeoisie.;;;;;;;;;;X;;;;;;;
campaigning_military_class_title;Campaign for the $COUNTRY_ADJ$ Military;;;;;;;;;;X;;;;;;;
campaigning_military_class_desc;A military, also known collectively as armed forces, is a heavily armed, highly organized force primarily intended for warfare. It is typically officially authorized and maintained by a sovereign state, with its members identifiable by their distinct military uniform. It may consist of one or more military branches such as an army, navy, air force, space force, marines, or coast guard. The main task of the military is usually defined as defence of the state and its interests against external armed threats.;;;;;;;;;;X;;;;;;;
campaigning_city_class_title;Campaign for Urban Interests;;;;;;;;;;X;;;;;;;
