CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
EVTDESC198000;The Football War, also known as the Soccer War or the 100 Hour War, was a brief war fought between El Salvador and Honduras in 1969. Existing tensions between the two countries coincided with rioting during a 1970 FIFA World Cup qualifier. The war began on 14 July 1969, when the Salvadoran military launched an attack against Honduras. The Organisation of American States (OAS) negotiated a cease-fire on the night of 18 July, which took full effect on 20 July. Salvadoran troops were withdrawn in early August. Despite a formal peace treaty, a decision by the International Court of Justice (ICJ), the support of the OAS and more than 40 years having passed, the dispute remains active.;;;;;;;;;;;;;x;;;;
EVTDESC198001;Relations between Tanzania and Uganda had been strained for several years before the war started. After Amin seized power in a military coup in 1971, the Tanzanian leader Julius Nyerere offered sanctuary to Uganda's ousted president, Milton Obote. Obote was joined by 20,000 refugees fleeing Amin's attempts to wipe out opposition. A year later, a group of exiles based in Tanzania attempted, unsuccessfully, to invade Uganda and remove Amin. Amin blamed Nyerere for backing and arming his enemies. The relationship between Uganda and Tanzania remained strained for many years. In early October 1978, dissident troops ambushed Amin at the presidential lodge in Kampala, but he escaped with his family in a helicopter. Amin sent troops against the mutineers, some of whom had fled across the Tanzanian border. The rebellion spilled over into Tanzania, where Tanzania-based anti-Amin exiles joined the fighting against Amin's troops. Uganda declared a state of war against Tanzania on 30 October 1978, and sent troops to invade and annex part of the Kagera region of Tanzania, which Amin claimed belonged to Uganda.;;;;;;;;;;;;;x;;;;
EVTDESC198002;The Toyota War is the name commonly given to the last phase of the Chadian–Libyan conflict, which took place in 1987 in Northern Chad and on the Libyan–Chadian border. It takes its name from the Toyota pickup trucks used, primarily the Toyota Hilux and the Toyota Land Cruiser, to provide mobility for the Chadian troops as they fought against the Libyans. The 1987 war resulted in a heavy defeat for Libya, which, according to American sources, lost one tenth of its army, with 7,500 men killed and US$1.5 billion worth of military equipment destroyed or captured. Chadian losses were 1,000 men killed.;;;;;;;;;;;;;x;;;;
EVTDESC198003;The Cenepa War, also known as the Alto Cenepa War, was a brief and localised military conflict between Ecuador and Peru, fought over control of an area in Peruvian territory near the border between the two countries. The two nations had signed a border treaty following the Ecuadorian–Peruvian War of 1941, but Ecuador later disagreed with the treaty as it applied to the Cenepa and Paquisha areas, and in 1960 Ecuador declared the treaty null and void. Mediation efforts of Argentina, Brazil, Chile and the United States paved the way for the opening of diplomatic conversations that ultimately led to the signing of a definitive peace agreement on 26 October 1998. The peace agreement was followed by the formal demarcation of the border on 13 May 1999 and the end of the multi-national MOMEP troop deployment on 17 June 1999 which effectively put an end to one of the longest territorial disputes in the Western Hemisphere.;;;;;;;;;;;;;x;;;;
EVTDESC198004;The Eritrean–Ethiopian War took place from May 1998 to June 2000 between Ethiopia and Eritrea, forming one of the conflicts in the Horn of Africa. While Eritrea and Ethiopia—two of the world's poorest countries—spent hundreds of millions of dollars on the war and suffered tens of thousands of casualties as a direct consequence of the conflict, only minor border changes resulted. At the end of the war, Ethiopia held all of the disputed territory and had advanced into Eritrea. After the war ended, the Eritrea–Ethiopia Boundary Commission, a body founded by the UN, established that Badme, the disputed territory at the heart of the conflict, belongs to Eritrea. As of 2017, Ethiopia still occupies the territory near Badme, including the town of Badme.;;;;;;;;;;;;;x;;;;
EVTDESC198005;The Kargil War, also known as the Kargil conflict, was an armed conflict between India and Pakistan that took place between May and July 1999 in the Kargil district of Kashmir and elsewhere along the Line of Control (LOC). In India, the conflict is also referred to as Operation Vijay which was the name of the Indian operation to clear the Kargil sector. The cause of the war was the infiltration of Pakistani soldiers disguised as Kashmiri militants into positions on the Indian side of the LOC, which serves as the de facto border between the two states. During the initial stages of the war, Pakistan blamed the fighting entirely on independent Kashmiri insurgents, but documents left behind by casualties and later statements by Pakistan's Prime Minister and Chief of Army Staff showed involvement of Pakistani paramilitary forces, led by General Ashraf Rashid.;;;;;;;;;;;;;x;;;;
EVTDESC198006;By 1986, Angola began to assume a more central role in the Cold War, with the Soviet Union, Cuba and other Eastern bloc nations enhancing support for the MPLA government, and American conservatives beginning to elevate their support for Savimbi's UNITA. Savimbi developed close relations with influential American conservatives, who saw Savimbi as a key ally in the U.S. effort to oppose and rollback Soviet-backed, undemocratic governments around the world. The conflict quickly escalated, with both Washington and Moscow seeing it as a critical strategic conflict in the Cold War. UNITA and South African forces attacked the MPLA's base at Cuito Cuanavale in Cuando Cubango province from 13 January to 23 March 1988, in the second largest battle in the history of Africa, after the Battle of El Alamein, the largest in sub-Saharan Africa since World War II.;;;;;;;;;;;;;x;;;;
EVTDESC198007;The Ogaden War, also known as the Ethio-Somali War, was a Somali military offensive between July 1977 and March 1978 over the disputed Ethiopian region Ogaden starting with the Somali Democratic Republic's invasion of Ethiopia. The Soviet Union disapproved of the invasion and ceased its support of Somalia to instead start supporting Ethiopia, whereas the United States conversely ceased its support of Ethiopia and started supporting Somalia. The war ended when the Americans brokered a ceasefire. Ethiopia was saved from a major defeat and a permanent loss of territory due to a massive airlift of military supplies, the arrival of 16,000 Cuban troops, 1,500 Soviet advisors and 2 brigades from South Yemen, also airlifted to reinforce Addis Ababa. After series of defeats by the superior Cuban and Ethiopian reinforcements the Somali Army retreated.;;;;;;;;;;;;;x;;;;
EVTDESC198008;The Libyan–Egyptian War was a short border war between Libya and Egypt in July 1977. On July 21, 1977, there were first gun battles between troops on the border, followed by land and air strikes. On July 24, the combatants agreed to a ceasefire under the mediation of the President of Algeria Houari Boumediène and the Palestine Liberation Organisation leader Yasser Arafat.;;;;;;;;;;;;;x;;;;
EVTDESC198012;The Sand War or Sands War was a border conflict between Algeria and Morocco in October 1963. It resulted largely from the Moroccan government's claim to portions of Algeria's Tindouf and Béchar provinces. The Sand War led to heightened tensions between the two countries for several decades. It was also notable for a short-lived Cuban and Egyptian military intervention on behalf of Algeria, and for ushering in the first multinational peacekeeping mission carried out by the Organisation of African Unity.;;;;;;;;;;;;;x;;;;
