CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
space_agency;National Aeronautic Space Agency;;;;;;;;x;;;;;;;;;;;;;
space_private;Space programs are privately funded;;;;;;;;x;;;;;;;;;;;;;
space_public;Space programs are government funded;;;;;;;;x;;;;;;;;;;;;;
develop_space_rocket;Developing a working space rocket;;;;;;;;x;;;;;;;;;;;;;
space_rocket;Possess Space Rocket manufacturing skills;;;;;;;;x;;;;;;;;;;;;;
develop_space_satellite;Developing a working space satellite;;;;;;;;x;;;;;;;;;;;;;
develop_space_man;Developing a working astronaut;;;;;;;;x;;;;;;;;;;;;;
develop_space_probe;Developing a working space probe;;;;;;;;x;;;;;;;;;;;;;
develop_space_station;Developing a working space station;;;;;;;;x;;;;;;;;;;;;;
develop_moon_mission;Planning for a Manned Mission to the Moon;;;;;;;;x;;;;;;;;;;;;;
develop_mars_mission;Planning for a Manned Mission to Mars;;;;;;;;x;;;;;;;;;;;;;
space_satellite;Possess Space Satellite manufacturing skills;;;;;;;;x;;;;;;;;;;;;;
space_man;Possess capability to send astronauts into space;;;;;;;;x;;;;;;;;;;;;;
space_station;Possess a working space station;;;;;;;;x;;;;;;;;;;;;;
space_probe;Possess working space probes;;;;;;;;x;;;;;;;;;;;;;
iss;Part of the International Space Station Program;;;;;;;;x;;;;;;;;;;;;;
space_project_attempted;Space project attempted recently;;;;;;;;x;;;;;;;;;;;;;
create_space_agency_title;Set up a National Space Agency;;;;;;;;x;;;;;;;;;;;;;
create_space_agency_desc;Setting up a National Space Agency is a necessary requirement for the starting of space programs as it gives the required infrastructure and skills to successfully launch space programs.;;;;;;;;x;;;;;;;;;;;;;
create_rocket_title;Develop a working Space Rocket;;;;;;;;x;;;;;;;;;;;;;
create_rocket_desc;In spaceflight, a launch vehicle or carrier rocket is a rocket used to carry a payload from Earth's surface into outer space. A launch system includes the launch vehicle, the launch pad, and other infrastructure. Although a carrier rocket's payload is often an artificial satellite placed into orbit, some spaceflights, such as sounding rockets, are sub-orbital, while others enable spacecraft to escape Earth orbit entirely. Earth orbital launch vehicles typically have at least two stages, and sometimes as many as four or more.;;;;;;;;x;;;;;;;;;;;;;
create_satellite_title;Develop a working Space Satellite;;;;;;;;x;;;;;;;;;;;;;
create_satellite_desc;In the context of spaceflight, a satellite is an artificial object which has been intentionally placed into orbit. Such objects are sometimes called artificial satellites to distinguish them from natural satellites such as Earth's Moon. Approximately 500 operational satellites are in low-Earth orbit, 50 are in medium-Earth orbit (at 20,000 km), and the rest are in geostationary orbit (at 36,000 km). A few large satellites have been launched in parts and assembled in orbit. Over a dozen space probes have been placed into orbit around other bodies and become artificial satellites to the Moon, Mercury, Venus, Mars, Jupiter, Saturn, a few asteroids, and the Sun. Satellites are used for many purposes. Common types include military and civilian Earth observation satellites, communications satellites, navigation satellites, weather satellites, and space telescopes. Space stations and human spacecraft in orbit are also satellites. Satellite orbits vary greatly, depending on the purpose of the satellite, and are classified in a number of ways. Well-known (overlapping) classes include low Earth orbit, polar orbit, and geostationary orbit. Satellites are propelled by rockets to their orbits. Usually the launch vehicle itself is a rocket lifting off from a launch pad on land. Some satellites are launched at sea (from a submarine or a mobile maritime platform) or aboard a plane (see air launch to orbit). Satellites are usually semi-independent computer-controlled systems. Satellite subsystems attend many tasks, such as power generation, thermal control, telemetry, attitude control and orbit control.;;;;;;;;x;;;;;;;;;;;;;
create_space_man_title;Start a send a man into space program;;;;;;;;x;;;;;;;;;;;;;
create_space_man_desc;Human spaceflight (also referred to as manned spaceflight) is space travel with a crew or passengers aboard the spacecraft. Spacecraft carrying people may be operated directly, by human crew, or it may be either remotely operated from ground stations on Earth or be autonomous, able to carry out a specific mission with no human involvement.;;;;;;;;x;;;;;;;;;;;;;
create_space_station_title;Create a working space station;;;;;;;;x;;;;;;;;;;;;;
create_space_station_desc;A space station, also known as an orbital station or an orbital space station, is a spacecraft capable of supporting crewmembers, which is designed to remain in space (most commonly as an artificial satellite in low Earth orbit) for an extended period of time and for other spacecraft to dock. A space station is distinguished from other spacecraft used for human spaceflight by lack of major propulsion or landing systems. Instead, other vehicles transport people and cargo to and from the station.;;;;;;;;x;;;;;;;;;;;;;
create_space_probe_title;Set up a space exploration program using space probes;;;;;;;;x;;;;;;;;;;;;;
create_space_probe_desc;A robotic spacecraft is an uncrewed spacecraft, usually under telerobotic control. A robotic spacecraft designed to make scientific research measurements is often called a space probe. Many space missions are more suited to telerobotic rather than crewed operation, due to lower cost and lower risk factors. In addition, some planetary destinations such as Venus or the vicinity of Jupiter are too hostile for human survival, given current technology. Outer planets such as Saturn, Uranus, and Neptune are too distant to reach with current crewed spaceflight technology, so telerobotic probes are the only way to explore them.;;;;;;;;x;;;;;;;;;;;;;
create_moon_mission_title;Set up a Manned Mission to the Moon;;;;;;;;x;;;;;;;;;;;;;
create_moon_mission_desc;A total of twelve men have landed on the Moon. This was accomplished with two US pilot-astronauts flying a Lunar Module on each of six NASA missions across a 41-month period starting on 20 July 1969 UTC, with Neil Armstrong and Buzz Aldrin on Apollo 11, and ending on 14 December 1972 UTC with Gene Cernan and Jack Schmitt on Apollo 17. Cernan was the last to step off the lunar surface. All Apollo lunar missions had a third crew member who remained on board the Command Module. The last three missions had a rover for increased mobility.;;;;;;;;x;;;;;;;;;;;;;
create_mars_mission_title;Set up a Manned Mission to Mars;;;;;;;;x;;;;;;;;;;;;;
create_mars_mission_desc;A human mission to Mars has been the subject of science fiction, engineering, and scientific proposals since the 19th century. The plans comprise proposals to land on Mars, eventually settling on and terraforming the planet, while utilizing its moons, Phobos and Deimos.
The exploration of Mars has been a goal of national space programs for decades. Preliminary work for missions that would involve human explorers has been undertaken since the 1950s, with planned missions typically being stated as taking place 10 to 30 years in the future when they are drafted. The list of manned Mars mission plans in the 20th century shows the various mission proposals that have been put forth by multiple organizations and space agencies in this field of space exploration.;;;;;;;;x;;;;;;;;;;;;;
space_private_title;Private Funding of Space Mission Policy;;;;;;;;x;;;;;;;;;;;;;
space_private_desc;In the early decades of the Space Age, the government space agencies of the Soviet Union and United States pioneered space technology in collaboration with affiliated design bureaus in the USSR and private companies in the US, entirely funding both the development of new spaceflight technologies and the operational costs of spaceflight. The European Space Agency was formed in 1975, largely following the same model of space technology development. Later on, large defense contractors began to develop and operate space launch systems, derived from government rockets. Private spaceflight in Earth orbit includes communications satellites, satellite television, satellite radio, astronaut transport and sub-orbital and orbital space tourism.;;;;;;;;x;;;;;;;;;;;;;
space_public_title;Government Funding of Space Mission Policy;;;;;;;;x;;;;;;;;;;;;;
space_public_desc;In the early decades of the Space Age, the government space agencies of the Soviet Union and United States pioneered space technology in collaboration with affiliated design bureaus in the USSR and private companies in the US, entirely funding both the development of new spaceflight technologies and the operational costs of spaceflight. The European Space Agency was formed in 1975, largely following the same model of space technology development. Later on, large defense contractors began to develop and operate space launch systems, derived from government rockets. Private spaceflight in Earth orbit includes communications satellites, satellite television, satellite radio, astronaut transport and sub-orbital and orbital space tourism.;;;;;;;;x;;;;;;;;;;;;;
