CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
EVT_1412086_NAME;$YEAR$ UN Secretary-General Selection;;;;;;;;x;;;;;;;;;;;;;
EVT_1412086_DESC;Article 97 of the United Nations Charter determines that the Secretary-General is "appointed by the General Assembly upon the recommendation of the Security Council." As the recommendation must come from the Security Council, any of the five permanent members of the Council can veto a nomination. Most Secretaries-General are compromise candidates from middle powers and have little prior fame. Unofficial qualifications for the job have been set by precedent in previous selections, and the appointee may not be a citizen of any of the Security Council's five permanent members. The Secretary-General is customarily appointed for a five-year term, although the length of the term is discretionary.;;;;;;;;x;;;;;;;;;;;;;
EVT_1412086_A;Let's see who got the job;;;;;;;;x;;;;;;;;;;;;;
EVT_1412087_NAME;Our Candidate for UN Secretary-General Selected!;;;;;;;;x;;;;;;;;;;;;;
EVT_1412087_A;Every Secretary-General shapes the office;;;;;;;;x;;;;;;;;;;;;;
EVT_1412088_NAME;Proactive UN Secretary-General Selected;;;;;;;;x;;;;;;;;;;;;;
EVT_1412088_DESC;The new UN Secretary-General does not subscribe to non-interventionism, nor to acting only with the General Assembly's support, going so far as to believe that the office of Secretary-General should have independence of action. We can expect strong sanctions against warring nations.;;;;;;;;x;;;;;;;;;;;;;
EVT_1412088_A;That 'organisation' had better not meddle in our affairs!;;;;;;;;x;;;;;;;;;;;;;
EVT_1412089_NAME;Uninspiring UN Secretary-General Selected;;;;;;;;x;;;;;;;;;;;;;
EVT_1412089_DESC;The new UN Secretary-General usually subscribes to non-interventionism and to acting with the General Assembly's support. At best, we can expect weak sanctions against warring nations.;;;;;;;;x;;;;;;;;;;;;;
EVT_1412089_A;Who is this, even?;;;;;;;;x;;;;;;;;;;;;;
EVT_1412090_NAME;Passive UN Secretary-General Selected;;;;;;;;x;;;;;;;;;;;;;
EVT_1412090_DESC;The new UN Secretary-General subscribes completely to non-interventionism and to acting only with the General Assembly's support. We can expect warring nations to largely go unpunished.;;;;;;;;x;;;;;;;;;;;;;
EVT_1412090_A;What a joke;;;;;;;;x;;;;;;;;;;;;;
EVT_1412092_NAME;UN sanctions imposed against our nation;;;;;;;;x;;;;;;;;;;;;;
un_sanctions_strong_desc;The United Nations Secretary-General has imposed strong sanctions on our nation, hoping to persuade us to seek peace.;;;;;;;;x;;;;;;;;;;;;;
EVT_1412092_A;Lodge a strong complaint;;;;;;;;x;;;;;;;;;;;;;
un_sanctions_weak_desc;The United Nations Secretary-General has imposed weak sanctions on our nation, hoping to persuade us to seek peace.;;;;;;;;x;;;;;;;;;;;;;
un_headquarters;United Nations Headquarters;;;;;;;;x;;;;;;;;;;;;;
un_sanctions_strong;Strong United Nations Sanctions;;;;;;;;x;;;;;;;;;;;;;
un_sanctions_weak;Weak United Nations Sanctions;;;;;;;;x;;;;;;;;;;;;;
EVT_1971281_NAME;We are now only a UN Observer State;;;;;;;;x;;;;;;;;;;;;;
EVT_1971281_DESC;We are a vassal and, as our foreign affairs are controlled by $OVERLORD$, we can only be an observer state.;;;;;;;;x;;;;;;;;;;;;;
EVT_1971281_A;We must strive for independence to achieve full UN representation;;;;;;;;x;;;;;;;;;;;;;
EVT_1971282_NAME;We are no longer a UN Observer State;;;;;;;;x;;;;;;;;;;;;;
EVT_1971282_DESC;As we are no longer a vassal, we control our own foreign affairs, allowing us to be a full UN member state.;;;;;;;;x;;;;;;;;;;;;;
EVT_1971282_A;We have achieved full UN representation;;;;;;;;x;;;;;;;;;;;;;
EVT_1971283_NAME;Our term as a Non-Permanent Member of the UNSC Ends;;;;;;;;x;;;;;;;;;;;;;
EVT_1971283_DESC;We have been selected as a non-permanent member of United Nations Security Council. Our term only lasts for 2 years.;;;;;;;;x;;;;;;;;;;;;;
EVT_1971283_A;Good things never last...;;;;;;;;x;;;;;;;;;;;;;
EVT_1971284_NAME;Selected as a Non-Permanent Member of the UNSC;
EVT_1971284_DESC;We have been selected as a non-permanent member of United Nations Security Council. Our term only lasts for 2 years.;;;;;;;;x;;;;;;;;;;;;;
EVT_1971284_A;We must make the most of this new status;;;;;;;;x;;;;;;;;;;;;;
EVT_1971285_NAME;Select the 10 Non-Permanent Members of the UNSC;;;;;;;;x;;;;;;;;;;;;;
EVT_1971285_DESC;We have to select non-permanent members of United Nations Security Council. The term only lasts for 2 years.;;;;;;;;x;;;;;;;;;;;;;
EVT_1971285_A;Select them randomly;;;;;;;;x;;;;;;;;;;;;;
