CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
AGRESSION_WAR_ASSERT_HEGEMONY_NAME;$ORDER$ $FIRST$ War to Assert Hegemony;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;
NORMAL_WAR_ASSERT_HEGEMONY_NAME;$ORDER$ $FIRST$ War to Assert Hegemony;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;
AGRESSION_WAR_DISARM_WMD_NAME;$ORDER$ $FIRST$ War to Destroy $SECOND$ WMDs;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;
NORMAL_WAR_DISARM_WMD_NAME;$ORDER$ $FIRST$ War to Destroy $SECOND$ WMDs;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS;$ORDER$ $FIRST$-$SECOND$ War;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;
NORMAL_WAR_NAME_REPARATIONS;$ORDER$ $FIRST$-$SECOND$ War;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;
AGRESSION_WAR_DISMANTLE_FORTS_NAME;$ORDER$ $FIRST$ War to Demilitarise $SECOND$ $STATE$;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;
NORMAL_WAR_DISMANTLE_FORTS_NAME;$ORDER$ $FIRST$ War to Demilitarise $SECOND$ $STATE$;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;
NORMAL_WAR_COLONIAL_FRA_DAI;$ORDER$ Indochina War;$ORDER$ guerre civile $FIRST$;$ORDER$$FIRST$er Bürgerkrieg;;$ORDER$ Guerra Civil $FIRST$;;;;;;;;;x;;;;;;;;;;;;;;;;
AGRESSION_WAR_COLONIAL_NAME_FRA_DAI;$ORDER$ Indochina War;$ORDER$ guerre civile $FIRST$;$ORDER$$FIRST$er Bürgerkrieg;;$ORDER$ Guerra Civil $FIRST$;;;;;;;;;x;;;;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_SKO_NKO;$ORDER$ Korean War;$ORDER$ guerre civile $FIRST$;$ORDER$$FIRST$er Bürgerkrieg;;$ORDER$ Guerra Civil $FIRST$;;;;;;;;;x;;;;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_NKO_SKO;$ORDER$ Korean War;$ORDER$ guerre civile $FIRST$;$ORDER$$FIRST$er Bürgerkrieg;;$ORDER$ Guerra Civil $FIRST$;;;;;;;;;x;;;;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_NAME_SKO_NKO;$ORDER$ Korean War;$ORDER$ guerre civile $FIRST$;$ORDER$$FIRST$er Bürgerkrieg;;$ORDER$ Guerra Civil $FIRST$;;;;;;;;;x;;;;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_NAME_NKO_SKO;$ORDER$ Korean War;$ORDER$ guerre civile $FIRST$;$ORDER$$FIRST$er Bürgerkrieg;;$ORDER$ Guerra Civil $FIRST$;;;;;;;;;x;;;;;;;;;;;;;;;;
