CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
in_bankrupcy;Bankruptcy;En faillite;In Insolvenz;;;;;;;;;;;x;;;;;;;;;;;;;;;;
in_bankrupcy_desc;As our country has defaulted on our international loan installments, we are now officially in bankruptcy.;Nous sommes en faillite !;Wir sind zahlungsunfähig!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
gas;Natural Gas;;;;;;;;x;;;;;;;;;;;;;
TOPBAR_AVG_LITERACY;The average §Yhigher education§W of our population is §Y$AVG$§W%;Le §Ytaux d'alphabétisation§W de notre population est de §Y$AVG$%§W.;Die durchschnittliche §YAlphabetisierung§W unserer Bevölkerung beträgt §Y$AVG$§W%.;;La §Yalfabetización§W media de nuestra población es de §Y$AVG$§W%.;;;;;;;;;x;;;;;;;;;;;;;;;;
TRIGMOD_HEADER;The Cabinet Office reports;;;;;;;;x;;;;;;;;;;;;;
party_communist_0_CYR;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_nationalist_0_CYR;Gaddafist;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_CYR;Justice and Construction Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_CYR;National Forces Alliance conservative;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_CYR;National Forces Alliance;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_CYR;National Front Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_CYR;Populist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_CYR;Union for Homeland;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
fort;Military Base;Fort;Fort;;Fuerte;;;;;;;;;x;;;;;;;;;;;;;;;;
fort_short;Military Base;fort;Fort;;Fuerte;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG;DR Congo;Congo;Kongo;;El Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
UBD;United Baltic States;Provinces baltiques unies;Vereinite Baltische Staaten;;United Baltic Provinces;;;;;;;;;x;;;;;;;;;;;;;;;;
UBD_ADJ;Baltic;baltique;Baltisch;;Baltic;;;;;;;;;x;;;;;;;;;;;;;;;;
PBC;Peru–Bolivian Confederation;Peru–Bolivian Confederation;Peru–Bolivian Confederation;;Peru–Bolivian Confederation;;;;;;;;;x;;;;;;;;;;;;;;;;
PBC_ADJ;Peru–Bolivian;Peru–Bolivian;Peru–Bolivian;;Peru–Bolivian;;;;;;;;;x;;;;;;;;;;;;;;;;
clothes;Everyday Clothes;;;;;;;x
clothes_factory;Everyday Clothes Factory;;;;;;;x
clothes_factory_desc;;;;;;;;x
clothes_footwear;Luxury Clothes;;;;;;;x
clothes_footwear_factory;Luxury Clothing Factories;;;;;;;x
clothes_footwear_factory_desc;The production of finery has moved from the work of individual artisans to factories where such clothing can be produced en masse.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;;
