CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
USA;The United States;États-Unis d'Amérique;USA;;EE UU;;;;;;;;;x;;;;;;;;;;;;;;;;
RUS_proletarian_dictatorship;The Soviet Union;Union Soviétique;Sowjetunion;;Unión Soviética;;;;;;;;;x;;;;;;;;;;;;;;;;
hms_government1;Constitutional Monarchy;Gouvernement de Sa Majesté;Ihrer Majestät Regierung;;Gobierno de Su Majestad;;;;;;;;;x;;;;;;;;;;;;;;;;
hms_government;Constitutional Monarchy;Gouvernement de Sa Majesté;Ihrer Majestät Regierung;;Gobierno de Su Majestad;;;;;;;;;x;;;;;;;;;;;;;;;;
ABU_1162;Abu Dhabi;Abu Dhabi;Abu Dhabi;;Abu Dhabi;;;;;;;;;x;;;;;;;;;;;;;;;;
AFG_1214;Western Afghanistan;Western Afghanistan;West-Afghanistan;;Western Afghanistan;;;;;;;;;x;;;;;;;;;;;;;;;;
PAK_1223;Pashtunistan;Pashtunistan;Pashtunistan;;Pashtunistan;;;;;;;;;x;;;;;;;;;;;;;;;;
AFG_1213;Northern Afghanistan;Northern Afghanistan;Northern Afghanistan;;Northern Afghanistan;;;;;;;;;x;;;;;;;;;;;;;;;;
AFG_1209;Eastern Afghanistan;Eastern Afghanistan;Ost-Afghanistan;;Eastern Afghanistan;;;;;;;;;x;;;;;;;;;;;;;;;;
ALD_1704;Tlemcen;Tlemcen;Tlemcen;;Tlemcen;;;;;;;;;x;;;;;;;;;;;;;;;;
ALD_1708;Constantine;Constantine;Constantine;;Constantine;;;;;;;;;x;;;;;;;;;;;;;;;;
ALD_1713;North Central Sahara;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
ALD_1714;West Sahara;Sahara central Ouest;Westlich-zentrale Sahara;;Oeste del Sahara central;;;;;;;;;x;;;;;;;;;;;;;;;;
ALD_1718;Sahara;Sahara central Est;Östlich-zentrale Sahara;;Este del Sahara central;;;;;;;;;x;;;;;;;;;;;;;;;;
ANN_1371;Tonkin;Tonkin;Tonkin;;Tonkin;;;;;;;;;x;;;;;;;;;;;;;;;;
ANN_1374;Annam;Annam;Annam;;Annam;;;;;;;;;x;;;;;;;;;;;;;;;;
ANN_1383;Cochin China;Cochin China;Cochinchina;;Cochin China;;;;;;;;;x;;;;;;;;;;;;;;;;
ARG_2355;Buenos Aires;Buenos Aires;Buenos Aires;;Buenos Aires;;;;;;;;;x;;;;;;;;;;;;;;;;
ARG_2357;Corrientes;Corrientes;Corrientes;;Corrientes;;;;;;;;;x;;;;;;;;;;;;;;;;
ARG_2360;Entre Rios;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
ARG_2363;Santa Fe;Santa Fe;Santa Fe;;Santa Fe;;;;;;;;;x;;;;;;;;;;;;;;;;
ARG_2368;Jujuy;Jujuy;Jujuy;;Jujuy;;;;;;;;;x;;;;;;;;;;;;;;;;
ARG_2374;Catamarca;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
ARG_2377;Chaco;Chaco;Chaco;;Chaco;;;;;;;;;x;;;;;;;;;;;;;;;;
ARG_2384;La Pampa;Pampa;La Pampa;;La Pampa;;;;;;;;;x;;;;;;;;;;;;;;;;
ARG_2387;Tucumán;Tucumán;Tucumán;;Tucumán;;;;;;;;;x;;;;;;;;;;;;;;;;
ARG_2391;Patagonia Septentrional;Patagonie septentrionale;Patagonia Septentrional;;Patagonia Septentrional;;;;;;;;;x;;;;;;;;;;;;;;;;
ARG_2393;Río Negro;Rio Negro;Río Negro;;Río Negro;;;;;;;;;x;;;;;;;;;;;;;;;;
ARG_2398;Patagonia Meridional;Patagonie méridionale;Patagonia Meridional;;Patagonia Meridional;;;;;;;;;x;;;;;;;;;;;;;;;;
ASH_1909;Gold Coast;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
AST_1097;New Caledonia;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
AST_2244;Christmas & Cocos Islands;Îles Christmas et Cocos;Weihnachts- & Kokosinseln;;Islas Navidad y Cocos;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_2454;Fiji;Fidji;Fidschi;;Islas Fiji;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_2527;Kiribati;Kiribati;Kiribati;;Kiribati;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_2528;Southern New Guinea;Nouvelle guinée du sud;Südliches Neuguinea;;Nueva Guinea Meridional;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_2534;Solomon Islands;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
AST_2535;Vanuatu;Vanuatu;Vanuatu;;Vanuatu;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_2539;North Solomon Islands;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
AST_801;Polynesia;Polynésie;Polynesien;;La Polinesia;;;;;;;;;x;;;;;;;;;;;;;;;;
ATJ_1405;Aceh;Aceh;Aceh;;Aceh;;;;;;;;;x;;;;;;;;;;;;;;;;
AUS_2538;Vojvodina;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
AUS_612;Tirol;Tyrol;Tirol;;Tirol;;;;;;;;;x;;;;;;;;;;;;;;;;
AUS_613;Kärnten-Steiermark;Kärnten-Steiermark;Kärnten-Steiermark;;Kärnten-Steiermark;;;;;;;;;x;;;;;;;;;;;;;;;;
AUS_619;Österreich;Autriche;Österreich;;Austria;;;;;;;;;x;;;;;;;;;;;;;;;;
AUS_623;Transdanubia;Transdanubie;Transdanubien;;Transdanubia;;;;;;;;;x;;;;;;;;;;;;;;;;
AUS_625;Bohemia;Bohême;Böhmen;;Bohemia;;;;;;;;;x;;;;;;;;;;;;;;;;
AUS_626;Moravia;Moravie;Mähren;;Moravia;;;;;;;;;x;;;;;;;;;;;;;;;;
AUS_633;Slovakia;Slovaquie;Slowakei;;Eslovaquia;;;;;;;;;x;;;;;;;;;;;;;;;;
AUS_641;Central Hungary;Hongrie centrale;Zentralungarn;;Hungría Central;;;;;;;;;x;;;;;;;;;;;;;;;;
AUS_647;Alföld;Alföld;Alföld;;Alföld;;;;;;;;;x;;;;;;;;;;;;;;;;
AUS_652;Banat;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
