CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
greek_epirus_title;Rename $COUNTRY_ADJ$ Epirus;;;;;;;;x;;;;;;;;;;;;;
greek_epirus_desc;Now that we control North Epirus, we should rename the towns and cities back to their $COUNTRYCULTURE$ names.;;;;;;;;x;;;;;;;;;;;;;
albanian_epirus_title;Rename $COUNTRY_ADJ$ Epirus;;;;;;;;x;;;;;;;;;;;;;
albanian_epirus_desc;Now that we control North Epirus, we should rename the towns and cities back to their $COUNTRYCULTURE$ names.;;;;;;;;x;;;;;;;;;;;;;
claim_greater_italy_title;Italian irredentism;;;;;;;;;;X
claim_greater_italy_desc;Italian irredentism is a nationalist movement with irredentist goals which promoted the unification of geographic areas in which indigenous ethnic Italians and Italian-speaking persons formed a majority, or substantial minority, of the population. Glaim greater Italy!;;;;;;;;;;X
abandon_claim_greater_italy_title;Abandon The claim for Grater Italy;;;;;;;;;;X
abandon_claim_greater_italy_desc;Abandon our effort to create a greater Italy. Italian irredentism is a nationalist movement with irredentist goals which promoted the unification of geographic areas in which indigenous ethnic Italians and Italian-speaking persons formed a majority, or substantial minority, of the population.;;;;;;;;;;X
claim_greater_mexico_title;The Reconquista;;;;;;;;;;;;;x
claim_greater_mexico_desc;We shall reclaim and seek to reconquer the U.S. Southwest, territories that had pertained to Mexico before the Texas annexation (1845) and the Mexican Cession (1848), as a consequence of the Mexican American War, for distinct purposes.;;;;;;;;;;;;;x
abandon_claim_greater_mexico_title;Abandon The Reconquista;;;;;;;;;;;;;x
abandon_claim_greater_mexico_desc;Abandon our effort to reclaim and reconquer the U.S. Southwest, territories that had pertained to Mexico before the Texas annexation (1845) and the Mexican Cession (1848), as a consequence of the Mexican American War, for distinct purposes.;;;;;;;;;;;;;x
claim_greater_afghanistan;Claim Greater Afghanistan;;;;;;;;;;;;x
claim_greater_afghanistan_title;Reject the Durand Line;;;;;;;;;;;;x
claim_greater_afghanistan_desc;The Durand Line is the border, between Afghanistan and Pakistan. It was established in 1893 by agreement between Sir Mortimer Durand. The Durand Line cuts through the Pashtun tribal areas and further south through the Balochistan region, politically dividing ethnic Pashtuns, as well as the Baloch and other ethnic groups.;;;;;;;;;;;;x
claim_greater_argentina;Falkland Islands sovereignty dispute;;;;;;;;;;;;x
claim_greater_argentina_title;Claim Islas Malvinas;;;;;;;;;;;;x
claim_greater_argentina_desc;Sovereignty over the Falkland Islands (Islas Malvinas in Spanish) is disputed between Argentina and the United Kingdom. The British claim to sovereignty dates from 1690, and the United Kingdom has exercised de facto sovereignty over the archipelago almost continuously since 1833. Argentina has long disputed this claim, having been in control of the islands for a period prior to 1833.;;;;;;;;;;;;x
claim_greater_bolivia;Claim Greater Bolivia;;;;;;;;;;;;x
claim_greater_bolivia_title;Undo the Peace of the War of the Pacific;;;;;;;;;;;;x
claim_greater_bolivia_desc;The constitution of Bolivia states that the country has an unrenounceable right over the territory that gives it access to the Pacific Ocean and its maritime space. This is understood as territory that Bolivia and Peru ceded to Chile after the War of the Pacific, which left Bolivia as a landlocked country.;;;;;;;;;;;;x
claim_greater_china;Claim Greater China;;;;;;;;;;;;x
claim_greater_china_title;Claim Greater China;;;;;;;;;;;;x
claim_greater_china_desc;Greater China or the Greater China Region is a term used to refer to the People's Republic of China (Mainland China and its special administrative regions of Hong Kong and Macau) and the Republic of China (Taiwan) as a unity.;;;;;;;;;;;;x
claim_greater_taiwan;Claim Greater China;;;;;;;;;;;;x
claim_greater_taiwan_title;Claim Greater China;;;;;;;;;;;;x
