CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
movement_none_voting;Movement for No Voting Rights;;;;;;;;x;;;;;;;;;;;;;
movement_registered_voting;Movement for Universal Suffrage;;;;;;;;x;;;;;;;;;;;;;
movement_universal_weighted_voting;Movement for Universal Suffrage;;;;;;;;x;;;;;;;;;;;;;
movement_promoted_voting;Movement for Universal Suffrage;;;;;;;;x;;;;;;;;;;;;;
movement_universal_voting;Movement for Universal Suffrage;;;;;;;;x;;;;;;;;;;;;;
movement_ruling_party_opinion;Movement for Stable Government;;;;;;;;x;;;;;;;;;;;;;
movement_regulated_opinion;Movement for Upper House Reform;;;;;;;;x;;;;;;;;;;;;;
movement_open_opinion;Movement for Upper House Reform;;;;;;;;x;;;;;;;;;;;;;
movement_free_opinion;Movement for Upper House Reform;;;;;;;;x;;;;;;;;;;;;;
movement_democratic_opinion;Movement for Upper House Reform;;;;;;;;x;;;;;;;;;;;;;
movement_no_meetings;Movement for No Meeting Rights;;;;;;;;x;;;;;;;;;;;;;
movement_limited_meetings;Movement for Freedom of Assembly;;;;;;;;x;;;;;;;;;;;;;
movement_free_meetings;Movement for Freedom of Assembly;;;;;;;;x;;;;;;;;;;;;;
movement_politicised_service;Movement for Civil Service Reform;;;;;;;;x;;;;;;;;;;;;;
movement_elitist_service;Movement for Civil Service Reform;;;;;;;;x;;;;;;;;;;;;;
movement_professional_service;Movement for Civil Service Reform;;;;;;;;x;;;;;;;;;;;;;
movement_independent_service;Movement for Civil Service Reform;;;;;;;;x;;;;;;;;;;;;;
movement_state_publishing;Movement for State Publishing;;;;;;;;x;;;;;;;;;;;;;
movement_censored_publishing;Movement for Censored Publishing;;;;;;;;x;;;;;;;;;;;;;
movement_responsible_publishing;Movement for Responsible Press;;;;;;;;x;;;;;;;;;;;;;
movement_unregulated_publishing;Movement for Press Freedom;;;;;;;;x;;;;;;;;;;;;;
movement_no_trade_unions;Movement for No Trade Unions;;;;;;;;x;;;;;;;;;;;;;
movement_state_controlled_unions;Movement for State Trade Unions;;;;;;;;x;;;;;;;;;;;;;
movement_restricted_unions;Movement for Trade Union Rights;;;;;;;;x;;;;;;;;;;;;;
movement_free_trade_unions;Movement for Trade Union Rights;;;;;;;;x;;;;;;;;;;;;;
movement_parties_not_allowed;Movement to Ban Political Parties;;;;;;;;x;;;;;;;;;;;;;
movement_parties_only_nominated;Campaign for Political Party Rights;;;;;;;;x;;;;;;;;;;;;;
movement_parties_restrict_non_democratic;Campaign for Political Party Rights;;;;;;;;x;;;;;;;;;;;;;
movement_parties_promote_democratic;Campaign for Political Party Rights;;;;;;;;x;;;;;;;;;;;;;
movement_parties_allowed;Campaign for Political Party Rights;;;;;;;;x;;;;;;;;;;;;;
movement_nobody_gets_out;Movement to Ban Immigration;;;;;;;;x;;;;;;;;;;;;;
movement_quota_immigration;Campaign for Quota Immigration;;;;;;;;x;;;;;;;;;;;;;
