CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
EVT_9001023_DESC;The 23rd Congress of the Communist Party of the Soviet Union (CPSU) took place in $CAPITAL$, RSFSR between 29 March and 8 April 1966. It was the first Congress during Leonid Brezhnev's leadership of the Party and state. This Congress will provide places for personalities in key positions, such as Brezhnev, Kosygin and others. But it is important on because it will determine the new five-year plan of the USSR. Kosygin and his supporters, with a large majority, proposes to study the proposals of Libermann, an economist. However, there is an alternative proposed by Cybernetics, that of automating the Soviet economy.;;;;;;;;;;;;;x
EVT_9001024_DESC;Not surprisingly, Liberman's reforms were chosen. This would give greater management autonomy to companies (freedom to set a price and a salary, to hire, to order...). It will be first experimented in the Shchyokinsky chemical plant at the beginning. However, this reform meets resistance from conservatives, such as Leonid Brezhnev, because it requires the party to loosen its grip on the Soviet economy and fears that this will lead to the emergence of a kind of technocracy capable of challenging their decisions, powers and privileges. Should you fully adopt Liberman's Reforms or make a compromise and adopt it partially?;;;;;;;;;;;;;x
EVT_9001025_DESC;It was with surprise that Victor Glushkov's ideas resurfaced. Cybernetics is far from unknown and the project of automating the Soviet economy already dates back to Stalin's time. But the party seems to have realized the full potential of this project that could move the Soviet Union in the field of science and computer science ahead of the West and may well save the country in the future. The CPSU has already released money to generalize computers. It remains to be seen whether we want partial or complete automation.;;;;;;;;;;;;;x
EVT_9001027_DESC;In order to greatly improve the access and organization of our economy, it was decided a few years ago to introduce computers massively. This first step was reached and it became common for the Soviets to work with computers, no matter how big they are.;;;;;;;;;;;;;x
EVT_9001033_DESC;We have just passed a new milestone, an automated calculation system has been created in order to reduce falsifications and better organize working time. This is the core of the OGAS project...;;;;;;;;;;;;;x
EVT_9001034_DESC;We have managed to install a computer network to link our computers to better communicate information across the country and allow acceleration in the field of research. This is already a great leap forward for the West. Our economy is now much easier to manage.;;;;;;;;;;;;;x
partial_automation_ogas;Partial Economic Automation;;;;;;;;;;;;;x
EVT_9001070_DESC;In March 1956, rallies took place in Georgia, especially in its capital, Tbilisi. Demonstrations took place to denounce Khrushchev's speech, many of the demonstrators were Stalinists, but also nationalists, who saw Stalin as an icon of their national identity. Now, strong demands are said, such as the independence of Georgia or a radical change of the central government in $CAPITAL$.;;;;;;;;;;;;;x
EVT_9001071_DESC;Stalin's legacy has always been a problem in the Soviet Union, especially for the ruling class, and has had many reactions and consequences in the socialist camp. Today, the question is still raised, some radicals would like to establish a real cult for Stalin, to see him above all as the one who turned the country from a backward nation into a world power or a figure of anti-fascism. Others, more moderate and conservative, would like to create a commission to judge Stalin's role for the country (Stalin made mistakes, but above all he had an important role for the country). And finally, more "reformist" people would like to denounce Stalin in all aspects and concepts.;;;;;;;;;;;;;x
Stalin_legacy;The Legacy of Stalin;;;;;;;;;;;;;x
restoration_fail;Attempt Failed;;;;;;;;;;;;;x
reconciliation;Reconciliation;;;;;;;;;;;;;x
restoration_ussr_china;Trying to Rebuild Relations with China ;;;;;;;;;;;;;x
restoration_ussr_china_title;Seek to End the Sino-Soviet Split;;;;;;;;;;;;;x
restoration_ussr_china_desc;Since the split in the 1960s, our relations have been most frosty. However, many people in the Party want to try to rebuild our relationship. We should try before it is too late. This decision will start of a chain of events for us to decide whether to rebuild relations with the PRC or to continue on the path of the hostile relations.;;;;;;;;;;;;;x
restoration_china_ussr1;Send a Delegation to the USSR;;;;;;;;;;;;;x
restoration_china_ussr1_title;Send a Delegation to the USSR;;;;;;;;;;;;;x
restoration_china_ussr1_desc;Since the death of Mao and the taking of power by a leader closer to the Soviet Union, it might be time to put an end to this rupture between our two countries.;;;;;;;;;;;;;x
restoration_china_ussr2;Send a Delegation to the USSR;;;;;;;;;;;;;x
restoration_china_ussr2_title;Send a Delegation to the USSR;;;;;;;;;;;;;x
restoration_china_ussr2_desc;Since the death of Mao and the taking of power by a leader closer to the Soviet Union, it might be time to put an end to this rupture between our two countries.;;;;;;;;;;;;;x
restoration_china_ussr3;Send a Delegation to the USSR;;;;;;;;;;;;;x
restoration_china_ussr3_title;Send a Delegation to the USSR;;;;;;;;;;;;;x
restoration_china_ussr3_desc;Since the death of Mao and the taking of power by a leader closer to the Soviet Union, it might be time to put an end to this rupture between our two countries.;;;;;;;;;;;;;x
restoration_china_ussr4;Formalize our relationships;;;;;;;;;;;;;x
restoration_china_ussr4_title;Formalize our relationships;;;;;;;;;;;;;x
restoration_china_ussr4_desc;Now that our relations with the USSR have become more or less stable, perhaps we should formalize this revival of Sino-Soviet relations.;;;;;;;;;;;;;x
restoration_ussr_1985;Try Ultimately to Rebuild Our Relationships;;;;;;;;;;;;;x
restoration_ussr_1985_title;Reach out to Communist China;;;;;;;;;;;;;x
restoration_ussr_1985_desc;Now that our relations with the USSR have become more or less stable, perhaps we should formalise this revival of Sino-Soviet relations? In order to bring us closer to China, the Secretary General can appointed a new Foreign Minister: Oleg Troyanovsky. He is a very experienced diplomat who served as ambassador to Japan. If appointed, he shall have the heavy task of trying to bring the Soviet Union and China closer together. This decision initiates a chain of events that can end the Sino-Soviet Split.;;;;;;;;;;;;;x
EVT_9001074_DESC;Our delegation has just arrived in China to try to settle our differences. It may not be easy but not impossible. The first subject of division is political: the Soviet Union and China considered themselves, since the de-Stalinization, as the true Marxist-Leninists and accused each other of Revisionism. Do we stay on this position, do we try to compromise or do we admit our mistakes?;;;;;;;;;;;;;x
EVT_9001075_DESC;Now that the political issue has been settled, we must now be clear about our attitude towards Western Imperialism, especially the USA. Indeed, especially since the Cuban crisis, China accuses us of being too soft on the Americans. Should we maintain Khrushchev's position, engage in a discussion by putting forward a pragmatic diplomatic policy, or should we assert our hatred against Western Imperialism?;;;;;;;;;;;;;x
EVT_9001076_DESC;And finally, the last subject of discord between the USSR and China is a border problem. The region has always been a source of conflict but has become so since the Sino-Soviet breakup. Should we maintain the official line, try to calm things down with the negotiation of a treaty, or should we cede territories to China?;;;;;;;;;;;;;x
EVT_9001077_DESC;Despite attempts at reconciliation, the meeting ended with an incomprehensible volley of personal and political insults. Our divisions have deepened and it's going to take some time before it calms down.;;;;;;;;;;;;;x
EVT_9001079_DESC;It's done! We have managed to find a compromise for everyone so that we can re-sign a Friendship Pact between our two countries. Although there are still differences between us, our two great countries are together again!;;;;;;;;;;;;;x
EVT_9001081_DESC;It's a general surprise! The American president visited Mao, in China. What little hope we had of re-establishing relations with China has been extinguished !;;;;;;;;;;;;;x
