#  STRING NAME (do not change!);English;;;;;;;;;;X
##;;;;;;;;;;;X
# New World Order 2;;;;;;;;;;;X
##;;;;;;;;;;;X
# Events;;;;;;;;;;;X
##;;;;;;;;;;;X
EVTDESC8018201;Sallal ordered that the military academy in San'a go on full alert — opening all armories and issuing weapons to all junior officers and troops. On the evening of September 25, Sallal gathered known leaders of the Yemeni nationalist movement and other officers who had sympathized or participated in the military protests of 1955. Each officer and cell would be given orders and would commence as soon as the shelling of al-Badr's palace began. Key areas that would be secured included Al-Bashaer palace (al-Badr's palace), Al-Wusul palace (Reception area for dignitaries), the radio station, the telephone exchange, Qasr al-Silaah (The Main Armory), and the central security headquarters (Intelligence and Internal Security). The battle at the palace continued until guards surrendered to the revolutionaries the following morning. The radio station was first to fall, secured after a loyalist officer was killed and resistance collapsed.;;;;;;;;;;;;;x;;;;
EVTDESC80182011;On the royalist side, Jordan, Saudi Arabia and Israel supplied military aid, and Britain gave covert support, while the republicans were supported by Egypt and were supplied warplanes from the Soviet Union. Both foreign irregular and conventional forces were involved. Egyptian President Gamal Abdel Nasser supported the republicans with as many as 70,000 Egyptian troops and weapons. Despite several military actions and peace conferences, the war sank into a stalemate by the mid-1960s.;;;;;;;;;;;;;x;;;;
EVTDESC8018202;Saudi Arabia, fearing Nasserist encroachment, moved troops along its border with Yemen, as the King Hussein of Jordan dispatched his Army chief of staff for discussions with al-Badr's uncle, Prince Hassan. Between October 2–8 four Saudi cargo planes left Saudi Arabia loaded with arms and military material for Yemeni royalist tribesmen however, the pilots defected to Aswan. Ambassadors from Bonn, London, Washington D.C. and Amman supported the Imam while ambassadors from Cairo, Rome and Belgrade declared support for the republican revolution. The USSR was the first nation to recognise the new republic, and Nikita Khrushchev cabled Sallal: "Any act of aggression against Yemen will be considered an act of aggression against the Soviet Union." The United States was concerned that the conflict might spread to other parts of the Middle East. President John F. Kennedy rushed off notes to Nasser, Faisal of Saudi Arabia, Hussein and Sallal. His plan was that Nasser's troops should withdraw from Yemen while Saudi Arabia and Jordan halted their aid to the Imam. Nasser agreed to pull out his forces only after Jordan and Saudi Arabia "stop all aggressive operations on the frontiers".;;;;;;;;;;;;;x;;;;
EVTDESC8018203;The 1967 siege of Sana'a became the turning point of the war. The remaining republican Prime Minister succeeded in keeping control of Sana'a and by February 1968, the royalists lifted the siege. Clashes continued in parallel with peace talks until 1970, when Saudi Arabia recognised the Republic, and a ceasefire came into effect.;;;;;;;;;;;;;x;;;;
EVTDESC8018204;The Yemenite War of 1972 was a short military conflict between the Yemen Arab Republic and the People's Democratic Republic of Yemen. The war, initiated by the YAR, started on 26 September 1972, the tenth anniversary of the start of the North Yemen Civil War the fighting mostly consisted of border clashes. During the conflict, the YAR was supplied by Saudi Arabia and the PDRY by the USSR.;;;;;;;;;;;;;x;;;;
EVTDESC8018205;The Yemenite War of 1979 was a short military conflict between the Yemen Arab Republic and the People's Democratic Republic of Yemen. The war developed out of a breakdown in relations between the two countries after the president of North Yemen, Ahmad al-Ghashmi, was killed on 24 June 1978 and Salim Rubai Ali, a moderate Marxist who had been working on a proposed merger between the two Yemens, was murdered two days later. The hostility of the rhetoric from the new leadership of both countries escalated, leading to small scale border fighting, which then in turn escalated into a full blown war in February 1979. North Yemen appeared on the edge of a decisive defeat after a three-front invasion by South Yemeni combined arms formation, however this was prevented by a successful mediation in the form of the Kuwait Agreement of 1979, which resulted in Arab League forces being deployed to patrol the North-South border. An agreement to unite both countries was also signed, although was not implemented.;;;;;;;;;;;;;x;;;;
EVT_8022751_NAME;Macedonian Independence;;;;;;;;;;;;;x;;;;
EVT_8022751_DESC;On 8 September 1991,after Croatia and Slovenia had already declare their secession from Yugoslavia the Socialist Republic of Macedonia held an independence referendum where over 95.5% of the 75.8% turnout voters on the referendum voted for the independence of Macedonia.;;;;;;;;;;;;;x;;;;
EVT_8022751_A;Vote for Independence;;;;;;;;;;;;;x;;;;
EVT_8022751_B;Stay as part of Yugoslavia;;;;;;;;;;;;;x;;;;
