party_communist_0_AAB;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_AAB;Conservative Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_AAB;Liberal Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_AAB;Populist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_AAB;Progressive Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_AAB;Socialist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_AAB;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ABK;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ABK;Conservative Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ABK;Liberal Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ABK;Populist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ABK;Progressive Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ABK;Socialist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ABK;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ABZ;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ABZ;Conservative Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ABZ;Liberal Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ABZ;Populist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ABZ;Progressive Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ABZ;Socialist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ABZ;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ADJ;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ADJ;Conservative Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ADJ;Liberal Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ADJ;Populist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ADJ;Progressive Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ADJ;Socialist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ADJ;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ADL;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ADL;Conservative Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ADL;Liberal Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ADL;Populist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ADL;Progressive Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ADL;Socialist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ADL;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_natinalist_0_AFG;Jamiat;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_AFG;Junbish;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_1_AFG;PIUPA;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_AFG;Afghan Mellat;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_AFG;National United Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_AFG;Pashtun Taliban;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_AFG;People's Democratic Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_AFG;Taliban;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ALA;Alandic Left;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_nationalist_0_ALA;Future of Aland;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_big_tent_0_ALA;Alandic Centre;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ALA;Moderate Coalition for Aland;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ALA;Liberals for Aland;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ALA;Alandic Democracy;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ALA;Greens on Aland;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ALA;Aland Social Democrats;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ALA;Non-aligned Coalition;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_ALB;Albanian National Front Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ALB;Bektashis;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ALB;Democratic Party of Albania;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ALB;Party of Labour;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
