CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
EVT_1412086_NAME;$YEAR$ UN Secretary-General Selection;;;;;;;;x;;;;;;;;;;;;;
EVT_1412086_DESC;Article 97 of the United Nations Charter determines that the Secretary-General is "appointed by the General Assembly upon the recommendation of the Security Council." As the recommendation must come from the Security Council, any of the five permanent members of the Council can veto a nomination. Most Secretaries-General are compromise candidates from middle powers and have little prior fame. Unofficial qualifications for the job have been set by precedent in previous selections, and the appointee may not be a citizen of any of the Security Council's five permanent members. The Secretary-General is customarily appointed for a five-year term, although the length of the term is discretionary.;;;;;;;;x;;;;;;;;;;;;;
EVT_1412086_A;Let's see who got the job;;;;;;;;x;;;;;;;;;;;;;
EVT_1412087_NAME;Our Candidate for UN Secretary-General Selected!;;;;;;;;x;;;;;;;;;;;;;
EVT_1412087_A;Every Secretary-General shapes the office;;;;;;;;x;;;;;;;;;;;;;
EVT_1412088_NAME;Proactive UN Secretary-General Selected;;;;;;;;x;;;;;;;;;;;;;
EVT_1412088_DESC;The new UN Secretary-General does not subscribe to non-interventionism, nor to acting only with the General Assembly's support, going so far as to believe that the office of Secretary-General should have independence of action. We can expect strong sanctions against warring nations.;;;;;;;;x;;;;;;;;;;;;;
EVT_1412088_A;That 'organisation' had better not meddle in our affairs!;;;;;;;;x;;;;;;;;;;;;;
EVT_1412089_NAME;Uninspiring UN Secretary-General Selected;;;;;;;;x;;;;;;;;;;;;;
EVT_1412089_DESC;The new UN Secretary-General usually subscribes to non-interventionism and to acting with the General Assembly's support. At best, we can expect weak sanctions against warring nations.;;;;;;;;x;;;;;;;;;;;;;
EVT_1412089_A;Who is this, even?;;;;;;;;x;;;;;;;;;;;;;
EVT_1412090_NAME;Passive UN Secretary-General Selected;;;;;;;;x;;;;;;;;;;;;;
EVT_1412090_DESC;The new UN Secretary-General subscribes completely to non-interventionism and to acting only with the General Assembly's support. We can expect warring nations to largely go unpunished.;;;;;;;;x;;;;;;;;;;;;;
EVT_1412090_A;What a joke;;;;;;;;x;;;;;;;;;;;;;
EVT_1412092_NAME;UN sanctions imposed against our nation;;;;;;;;x;;;;;;;;;;;;;
EVT_1412092_DESC;The United Nations Secretary-General has imposed strong sanctions on our nation, hoping to persuade us to seek peace.;;;;;;;;x;;;;;;;;;;;;;
EVT_1412092_A;Lodge a strong complaint;;;;;;;;x;;;;;;;;;;;;;
EVT_1412093_DESC;The United Nations Secretary-General has imposed weak sanctions on our nation, hoping to persuade us to seek peace.;;;;;;;;x;;;;;;;;;;;;;
un_sanctions_strong;Strong United Nations Sanctions;;;;;;;;x;;;;;;;;;;;;;
un_sanctions_weak;Weak United Nations Sanctions;;;;;;;;x;;;;;;;;;;;;;
